-11.011|0.0,-40.885|0.281875,-38.295875|0.141375,-41.33675|0.18375,-38.95425|0.22975,-37.893875|0.216375,-42.6505|0.314,-38.80625|0.268625,-46.5965|0.189625,-40.9655|0.3105,-126.97025|69.61225,-126.6165|68.8205,-129.632875|70.566,-128.190625|69.192625,-126.02975|68.147,-128.28425|70.90375,-126.818125|68.671375,-129.1445|70.739875,-127.889875|69.254875,-113.884875|57.163125,-133.80975|70.581,-137.872875|70.624875,-138.6115|71.669125,-136.72275|70.940625,-138.420125|72.168625,-136.413625|71.565625,-137.476625|70.277375,-137.1995|70.183125,-140.653875|71.902875,-138.561|70.255375,-134.400375|70.1665,-136.542875|70.308625,-137.655625|71.5085,-135.2145|70.17575,-135.760625|70.22525,-134.5795|69.370375,-134.12975|69.591625,-136.602125|71.416875,-136.162375|71.215125,-135.8645|70.58725,-137.305|71.965,-137.240375|71.715875,-139.0365|70.683625,-141.1495|72.2615,-138.042375|70.68625,-139.808875|72.904,-139.299625|71.1945,-138.5715|70.698375,-139.722375|71.825125,-139.06475|71.03925,
-39.234875|0.182125,-8.008|0.0,-75.28575|0.3335,-73.7105|0.30725,-77.469|0.21025,-79.708625|0.263875,-74.76675|0.3215,-76.379625|0.3055,-72.877375|0.27875,-84.107625|0.221,-132.746375|67.386375,-132.641875|66.59175,-134.04875|67.738875,-132.94275|66.2425,-132.597875|66.237,-128.78425|64.930125,-130.354125|66.4575,-131.3175|66.483875,-129.479875|65.53075,-131.632625|66.76725,-133.411625|71.49825,-138.75575|71.272125,-140.56725|71.63,-139.594625|72.560375,-140.465375|70.8975,-141.033|71.46325,-142.1415|72.46525,-137.04125|71.139875,-138.616125|71.48375,-138.421875|70.43125,-134.26325|70.178875,-137.367125|69.866375,-135.577375|70.03075,-136.803375|71.458875,-135.075|70.459875,-135.72625|70.891125,-134.301125|70.869,-135.5385|71.4965,-134.504|69.829375,-135.17975|70.63075,-134.307375|74.42275,-135.063125|75.255875,-133.5775|74.0495,-122.13175|63.092125,-133.4255|74.833625,-133.578|74.893375,-132.436|74.052875,-133.713875|75.081,-134.052875|74.551875,-133.982625|74.26125,
-79.39075|0.402375,-78.196875|0.27325,-10.01|0.0,-79.95925|0.22675,-75.922375|0.1425,-79.67675|0.249375,-83.403125|0.23825,-74.843375|0.269875,-80.344375|0.21725,-83.389875|0.17775,-134.853375|66.42375,-133.136875|65.048,-132.831375|64.98625,-133.511625|64.9115,-131.994625|64.8925,-132.5675|65.75375,-133.158375|65.1135,-134.9815|65.488875,-134.768625|65.911375,-134.78925|66.550125,-131.7405|69.7725,-140.37625|70.89025,-140.2805|69.64075,-138.6535|70.76325,-140.526625|69.783,-138.880125|69.530875,-140.127125|70.3565,-138.960125|70.88875,-138.287375|70.481125,-139.669|70.049625,-135.484625|70.219375,-136.02275|69.409125,-135.039|70.133875,-134.09225|69.12475,-134.591625|71.1525,-137.3095|70.706375,-134.656625|69.603,-133.90575|69.484125,-135.775125|70.556,-134.6|69.37175,-139.18475|71.179125,-139.8095|70.40875,-141.024125|71.13525,-139.3515|69.61375,-137.71675|70.337,-139.289125|70.056375,-139.787875|71.056625,-140.142375|71.94525,-137.577375|70.027875,-140.337875|69.854875,
-75.211875|0.201875,-80.6385|0.174625,-80.975375|0.293375,-8.008|0.0,-66.456125|0.313875,-70.30825|0.22475,-70.866125|0.337125,-70.69225|0.2295,-74.67225|0.208625,-72.0895|0.223875,-132.3255|65.95825,-132.559375|66.41925,-133.44675|65.3165,-134.032|65.98275,-132.5185|64.4455,-132.904375|66.22575,-131.69725|65.614875,-133.3075|66.597,-134.042625|65.763,-133.99675|65.570125,-130.88|69.9655,-137.926125|70.1695,-139.9225|69.9235,-137.83225|70.743625,-138.680625|70.054,-140.67925|71.1535,-138.923625|71.25725,-136.7185|69.753,-137.4505|70.766125,-138.3545|70.34,-134.503875|69.5785,-134.7325|70.06925,-134.170875|69.794875,-134.11175|69.631125,-131.54525|68.2465,-135.0785|70.5455,-130.80425|68.74425,-133.07525|69.469,-135.24575|69.840125,-131.7835|68.95675,-138.200375|71.149,-138.287125|70.013875,-138.077875|69.614625,-140.585875|70.112875,-137.6785|70.917,-137.39475|71.03025,-136.719375|69.234,-136.60675|69.9565,-137.590125|71.366125,-137.24425|69.80125,
-70.3445|0.39275,-70.720125|0.43875,-69.61825|0.20675,-63.737375|0.290375,-9.009|0.0,-58.972125|0.26775,-60.500375|0.2175,-63.5665|0.27475,-65.414125|0.357625,-62.96825|0.31075,-128.150875|65.6395,-129.932375|65.9835,-131.562|66.666125,-131.477125|66.471625,-129.465875|64.756875,-130.7455|65.80475,-132.24775|66.666375,-132.52975|67.318125,-133.541875|66.336,-131.448875|66.045375,-130.836625|73.107125,-117.9985|60.47875,-134.565625|75.516,-133.07425|74.247875,-135.085875|74.083375,-134.55375|73.48075,-135.496|73.536375,-133.479375|73.927,-136.06275|75.330875,-134.168125|74.687375,-131.08025|68.97025,-131.8455|69.320375,-131.25475|68.71325,-131.426|69.1465,-130.665|68.054125,-132.104375|69.2545,-129.6985|67.87525,-132.540625|70.046625,-129.684|68.911,-133.059375|70.4345,-137.101125|71.238125,-134.75925|70.17775,-136.53925|70.1285,-138.539|70.6395,-135.408625|71.33475,-136.213375|71.302375,-136.956|71.782,-134.925125|71.093625,-135.583875|71.538,-138.253|70.736,
-63.677875|0.295,-64.390875|0.31375,-63.187375|0.248125,-61.064|0.403875,-63.378375|0.288375,-8.008|0.0,-55.4955|0.292875,-56.5335|0.2985,-56.47375|0.24525,-55.818375|0.351,-131.1175|65.9815,-133.11775|66.66375,-134.688875|66.5205,-132.506125|65.98925,-131.0075|66.60775,-130.671625|65.62775,-131.51275|65.3365,-131.828375|65.77675,-130.8045|65.0275,-130.893375|65.5145,-131.243|70.519,-137.684375|70.73575,-139.064875|70.9225,-134.967375|69.3285,-137.8195|69.39225,-140.12175|70.937,-138.641|69.32175,-134.50875|70.26825,-137.5855|71.121875,-138.0605|69.41525,-133.011375|70.879625,-134.0685|69.694375,-132.8385|69.3655,-132.850125|69.75525,-131.423|69.0065,-132.736625|69.8995,-132.268375|69.562,-131.8265|69.43225,-132.820875|70.2145,-131.74375|69.266,-136.05175|71.19875,-134.67925|69.278,-138.265625|70.48925,-139.262875|71.03625,-134.385|69.29175,-135.853875|70.9575,-135.936|69.836,-136.805875|71.4515,-136.668625|71.04225,-136.96|70.312625,
-55.098625|0.51525,-59.768375|0.579625,-57.164125|0.30575,-55.432875|0.361125,-57.368875|0.2015,-56.17975|0.269,-10.01|0.0,-50.9885|0.6175,-51.435375|0.3585,-51.293375|0.465,-129.078875|66.091625,-130.202|65.152,-130.213875|66.512125,-129.977125|65.93975,-129.533|65.5905,-130.5945|65.7085,-129.245125|65.833625,-130.3605|64.93525,-132.135375|66.532875,-130.523375|65.4115,-130.657|70.564625,-137.06025|70.754625,-139.02425|70.507375,-136.7135|70.205375,-137.959|70.010125,-138.550375|70.64375,-138.998|69.86325,-136.559125|71.0055,-137.164625|69.739125,-137.67275|70.57325,-132.931125|69.9845,-132.8065|67.846125,-132.013375|69.618125,-132.125125|69.280375,-131.85625|69.852,-130.230625|69.44275,-132.111625|69.576125,-131.646125|69.348125,-130.3245|68.80525,-130.86825|69.1605,-134.921|70.21525,-135.641875|70.72675,-136.95025|71.024625,-136.84|69.417375,-134.53|70.4505,-135.848125|71.381,-136.31775|71.4365,-134.90625|70.607625,-134.4525|70.46225,-137.3655|70.495875,
-47.364875|0.34225,-50.281|0.59025,-46.810625|0.41625,-45.2185|0.364625,-47.218625|0.38525,-44.109125|0.261125,-46.5445|0.252125,-8.008|0.0,-44.026625|0.443625,-43.716|0.42175,-127.10025|65.127125,-130.129875|67.981875,-129.793125|66.888875,-128.833375|66.658375,-127.91375|65.880375,-131.254875|67.2535,-128.02025|65.38275,-129.533625|66.176375,-132.457|68.131,-131.295|66.79825,-130.5595|71.4655,-137.57325|71.045375,-135.069625|70.489875,-134.250375|71.02875,-137.449|71.100625,-138.064125|71.33175,-139.506875|72.232125,-136.156375|72.096125,-137.4755|71.82225,-138.511875|71.738,-133.167|74.474375,-128.71625|71.168625,-132.237625|73.086125,-132.34775|73.558,-130.289625|72.687,-132.2645|72.81125,-132.733|73.53325,-131.228375|73.439125,-129.56525|72.392375,-130.104625|72.4415,-134.653875|71.213625,-135.3385|69.84725,-136.907|72.44075,-138.0595|71.115,-133.507375|70.593375,-134.391|71.251625,-134.1215|70.62725,-133.2685|69.99875,-134.923125|70.672,-136.050375|71.189875,
-44.88675|0.52625,-49.094|0.855375,-44.357|0.64475,-43.072125|0.716375,-45.48825|0.758625,-43.7405|0.849625,-45.0865|0.730125,-48.52875|1.021375,-11.011|0.0,-44.735625|0.872875,-130.766625|66.84275,-129.087125|66.095,-129.1585|64.412375,-129.06875|64.30925,-129.26525|65.887,-126.877625|64.049,-129.4765|64.908,-128.848875|65.257,-130.0195|65.84775,-131.239625|66.37525,-130.43975|70.676,-136.73425|71.156125,-135.3875|69.954,-134.6075|70.11425,-137.222875|69.292875,-137.49625|70.748375,-138.09325|70.903375,-133.8235|70.5155,-137.689|71.478375,-136.886875|69.85925,-132.525875|70.023,-131.753|70.428375,-130.89575|69.46825,-132.515375|70.136,-132.340625|70.6465,-132.618125|70.06775,-129.882375|68.699,-132.0425|69.44075,-132.198625|69.696,-132.404125|70.441375,-135.681625|70.3415,-135.9125|71.15425,-136.414|70.48775,-137.60275|70.26375,-135.92075|70.895375,-134.095375|70.395125,-135.393125|70.44525,-133.918375|69.935875,-133.507875|69.572625,-136.099625|69.85775,
-38.330375|0.5175,-42.46525|0.637,-42.04125|0.5485,-38.3565|0.514875,-40.33525|0.51675,-41.265375|0.677375,-41.618375|0.519125,-42.76775|0.5365,-42.091125|0.721375,-11.011|0.0,-127.9175|65.385875,-127.488|65.108625,-129.590625|65.72975,-129.836|66.469625,-128.97575|66.00775,-129.372875|66.4505,-129.44325|65.701,-129.264375|66.283,-131.5215|67.02725,-128.516|65.638,-131.364625|70.546,-136.573375|70.2965,-136.83475|71.299875,-134.524625|70.2845,-137.3635|70.8865,-138.69425|71.529625,-137.290375|70.7885,-133.809625|71.096875,-134.800125|71.45975,-135.695625|71.1805,-132.328625|69.095,-132.22575|69.1735,-130.63875|69.60575,-130.60675|69.40025,-133.0725|70.1255,-132.72175|70.695375,-130.720875|69.764875,-131.564125|69.93325,-131.23375|69.36475,-131.119|69.204,-135.102|69.964,-134.325375|70.26025,-136.15375|70.013,-135.346375|70.4,-135.479125|71.61075,-132.490625|68.0045,-134.069625|69.609,-133.64|69.87775,-136.38225|71.997625,-135.5065|68.8585,
