-11.011|0.0,-54.4655|0.010625,-47.883|0.04425,-55.759625|0.0015,-58.076625|0.006625,-55.12975|0.0105,-50.529125|0.00825,-54.400625|0.067875,-54.333625|0.01325,-51.01325|0.062,-58.10725|0.0405,-54.962|0.00875,-49.345875|0.004,-53.573|0.014,-57.16225|0.033,-203.993|108.660625,-206.5375|108.06975,-209.369375|108.78725,-206.2485|107.38275,-207.847375|108.769875,-207.01125|108.72175,-209.5105|107.6955,-199.2615|109.021,-207.946|108.162375,-204.886|106.1065,-210.91525|109.15325,-205.11725|109.4165,-203.9655|106.476875,-205.57325|108.839,-205.222375|107.48725,-208.77425|106.282375,-210.42825|106.075125,-207.82175|106.072,-208.381125|106.25275,-205.64075|105.498875,-204.2525|104.682375,-205.635375|105.35025,-209.52525|105.591,-207.330125|105.855125,-209.1895|106.0965,-208.281375|104.993,-209.252125|105.2545,-208.854625|106.5055,-208.263375|107.997375,-209.35825|106.13,-198.545375|113.767625,-197.697|114.0665,-199.626|114.038625,-201.60175|116.653625,-198.045625|112.73925,-199.405875|113.68725,-200.917125|116.02925,-200.268875|115.334875,-198.94175|114.81475,-198.784|114.16725,-172.248|93.582625,-196.976|111.794875,-196.032|112.991875,-200.74725|115.302875,-200.4855|116.174375,-211.7375|114.234125,-208.569625|113.997125,-212.654375|115.439,-207.32725|111.16325,-209.882625|113.01225,-215.7025|115.913625,-211.91775|113.6555,-213.372625|114.011,-213.019875|113.61825,-212.831|115.07825,-208.56775|114.8375,-209.806375|113.756125,-211.789125|113.460875,-213.79|115.611375,-211.59275|113.317625,
-60.057|0.05025,-8.008|0.0,-134.19025|0.0,-111.431375|0.046,-105.34825|0.070875,-108.31975|0.008,-117.277875|0.0,-123.003875|0.007875,-130.488625|0.0,-116.376875|0.008375,-111.31725|0.01725,-111.872875|0.03225,-137.077625|0.0,-121.805375|0.007875,-110.16675|0.09475,-203.79175|104.94225,-206.7725|106.91925,-208.183625|106.703,-203.688125|105.6065,-204.295|105.4295,-202.836875|104.59225,-208.700625|105.7,-196.508|107.0945,-206.3025|106.76,-206.623625|106.471,-207.609625|107.86075,-203.524875|106.95925,-201.868875|107.11475,-206.147125|107.2465,-203.892875|107.01425,-210.040625|106.18775,-207.284|103.36625,-207.884125|104.05025,-209.8275|106.9035,-210.0465|104.886,-205.51975|104.1525,-206.666875|104.124625,-210.9405|104.79725,-207.32325|105.6065,-206.66275|104.3115,-207.47325|104.4495,-209.17825|106.36075,-206.34725|103.5315,-208.328375|104.63525,-208.8685|104.595,-204.059625|105.83325,-205.84575|107.554875,-209.314|109.09525,-205.39875|108.39375,-208.994875|110.992375,-209.61225|109.23925,-205.268625|107.86525,-203.27675|108.58475,-207.415625|107.55125,-206.9815|107.701,-198.5925|108.51925,-204.303375|107.3875,-202.810625|107.9185,-208.159625|109.63275,-204.6705|106.5695,-209.752|112.9545,-207.60775|112.48025,-208.9665|111.83975,-210.897125|112.48475,-207.1535|112.26775,-211.802125|112.05925,-211.7385|115.064375,-212.223|112.41125,-209.3065|112.5885,-211.32325|113.445625,-206.746375|111.412375,-211.01125|115.439875,-210.066|115.12275,-210.43225|113.973375,-210.375625|114.47725,
-117.20575|0.0175,-117.31775|0.024,-10.01|0.0,-128.60025|0.008875,-116.03425|0.048,-123.140625|0.01775,-120.726|0.04025,-122.2135|0.085,-132.120125|0.027375,-121.1435|0.0185,-124.18025|0.04075,-123.5885|0.008875,-125.92475|0.00925,-123.290625|0.0,-118.488625|0.0,-205.752875|107.78625,-204.86725|105.039,-204.3755|105.1005,-206.215125|107.64825,-205.00425|107.416375,-203.511625|106.3955,-207.20925|106.818,-197.7855|109.074,-204.5635|105.741375,-206.08225|106.44025,-207.004875|108.246625,-204.60725|107.865875,-205.780375|107.407,-204.2035|104.6885,-204.454375|107.73225,-206.461375|105.6825,-207.826|105.89525,-210.6865|106.0015,-210.733|105.01925,-206.827625|104.0735,-210.7275|104.03725,-206.9115|106.19375,-209.28875|105.7995,-207.758625|103.91275,-205.1855|104.84,-207.59225|104.635,-208.617375|104.7025,-207.44175|105.36375,-207.004|104.8895,-207.385125|105.34225,-206.4925|108.392,-208.64175|110.26575,-206.0425|108.18875,-202.78325|107.32825,-206.506|108.03125,-209.289|111.03825,-206.6125|108.81225,-206.493375|108.84325,-207.334375|109.224,-206.579125|107.85575,-200.81225|109.93675,-205.978375|108.81075,-205.118125|110.10975,-204.943875|107.5565,-208.26|109.494,-208.81925|112.399,-206.7|111.71225,-209.221875|112.469,-210.872875|113.4185,-210.55275|114.21575,-210.4205|111.99,-208.83625|111.82075,-211.770125|111.8585,-211.32375|112.5415,-208.818625|112.413,-205.609875|112.793,-207.012125|111.59475,-210.599125|113.5845,-209.006375|112.21725,-212.578375|112.952,
-111.911|0.0,-127.50625|0.0,-128.788|0.0,-8.008|0.0,-116.06275|0.009875,-116.37525|0.037,-115.183875|0.0,-121.138875|0.031625,-118.8275|0.0095,-112.873625|0.0,-115.813875|0.071875,-114.38625|0.00925,-115.913125|0.009625,-118.626375|0.031125,-118.31375|0.0095,-202.621875|106.22425,-205.93975|106.96075,-206.018625|106.20775,-203.841|106.56925,-203.536375|107.7905,-204.701|107.23825,-206.450125|107.05725,-195.55925|108.348,-205.346125|106.575,-204.952875|108.5325,-203.170125|107.4215,-200.03425|105.239,-201.053875|107.03025,-205.753125|106.84575,-204.4705|108.07375,-208.886375|106.71575,-206.717125|105.88025,-212.466125|104.353375,-208.4045|103.81925,-204.297875|104.2565,-207.008875|106.08475,-205.2415|104.48775,-207.598|103.60575,-205.876625|104.2295,-207.05375|104.679,-206.30225|104.9065,-207.5085|104.8205,-207.00725|104.66075,-203.813625|104.225,-206.097375|104.4895,-205.196125|109.4775,-206.320875|108.15225,-204.937125|107.21375,-203.651125|106.30425,-203.05225|107.864,-206.44725|107.832625,-203.777875|108.87225,-207.248125|109.914,-202.40625|108.03325,-204.16525|107.619,-197.331|106.50075,-205.86|108.7875,-202.56375|108.50425,-206.2115|108.0,-203.5615|108.1155,-207.519375|111.69825,-208.56825|112.936,-210.9875|114.7975,-208.4135|112.148,-209.63225|113.857,-211.92675|112.85075,-210.487625|112.13325,-211.802875|112.81525,-211.2365|113.500625,-208.48875|111.50325,-206.729|112.7245,-208.22275|112.842,-207.74825|111.08325,-207.959875|111.897,-212.119875|113.64625,
-103.326125|0.039375,-113.78575|0.0395,-110.60875|0.009875,-109.836125|0.009875,-9.009|0.0,-106.844125|0.01075,-105.158875|0.0215,-116.238125|0.057375,-114.265875|0.033,-109.377875|0.011125,-108.705875|0.0,-113.18225|0.0,-115.03175|0.055875,-106.74175|0.02125,-112.1435|0.0,-202.4105|106.26575,-204.183125|106.2335,-206.059|106.44725,-202.033875|108.529,-201.2235|106.167,-203.563|108.56275,-206.058875|106.56875,-193.547125|107.5295,-203.47725|107.03375,-203.584|107.6685,-203.030125|107.00425,-201.79025|106.588875,-203.7435|108.61,-203.3885|107.378,-201.932875|108.26225,-204.378|105.4035,-205.164|105.85,-206.837|104.49475,-208.928|104.659125,-203.044375|103.90375,-203.9145|104.0815,-206.181375|105.23975,-206.675125|106.118625,-204.25325|103.30925,-207.472|105.323,-207.0955|104.2535,-207.5505|104.0055,-207.9335|104.39225,-205.232375|103.06775,-202.690875|103.0425,-204.0665|108.56575,-207.4365|109.573,-203.9955|106.87475,-201.93625|109.1335,-203.12175|108.43525,-201.292625|106.35725,-205.3665|110.3485,-201.55325|108.24325,-202.524|107.38375,-206.034|109.50775,-195.9315|109.05225,-203.472375|109.57975,-202.2665|108.193125,-202.605625|108.352375,-201.946875|108.539,-206.343625|113.710375,-205.259375|113.4615,-207.65525|113.15525,-207.95625|112.44175,-207.161875|112.17175,-208.93225|111.894,-204.106|112.28,-209.90275|112.70675,-207.090625|109.568,-207.526375|111.9665,-206.480125|114.751,-207.387125|112.202,-206.6025|113.602,-206.890125|112.3735,-207.1005|112.7345,
-100.97425|0.04475,-101.572125|0.07325,-112.810625|0.07375,-108.35675|0.01025,-106.422|0.01025,-8.008|0.0,-101.15275|0.02225,-104.954125|0.033,-99.221625|0.056625,-97.8365|0.057,-103.26|0.022,-102.2325|0.02225,-101.191625|0.057,-104.492375|0.0445,-107.637625|0.149875,-199.310125|106.25075,-206.040875|108.553875,-205.024625|106.51675,-201.18475|107.054375,-203.01625|109.342125,-203.234875|107.616375,-205.89875|108.104,-193.039875|107.13825,-203.428875|106.524,-204.305|107.50775,-202.644875|106.905,-198.824375|106.0175,-201.535125|107.799,-203.74975|107.842,-200.190375|105.1905,-202.630625|102.931125,-204.710875|105.79975,-209.938375|106.060625,-204.415625|104.3075,-202.644375|104.17575,-203.990625|104.581,-201.672|104.569,-207.64275|103.879,-204.407375|104.592,-204.0565|105.22875,-205.76325|104.55775,-207.78|103.5185,-201.61475|103.083,-205.994375|105.7545,-206.741|105.14325,-203.612625|107.839,-203.62275|108.98625,-202.27225|108.27725,-202.768625|109.97225,-200.141375|106.09875,-204.202375|109.006,-201.819|109.52625,-201.512625|108.15575,-203.301875|107.63875,-202.225125|106.84875,-195.67175|107.6655,-200.838875|107.1095,-203.383|108.03,-202.04775|107.63925,-203.8465|108.506,-208.14|113.71775,-205.693375|111.821,-207.410875|111.37975,-209.083|114.4535,-204.122625|112.2395,-211.335|113.70325,-207.996|113.49875,-211.017375|114.3645,-206.816|112.16075,-202.904875|110.1405,-202.98175|111.70925,-205.420375|113.114,-207.865875|113.125,-206.15425|110.70875,-208.875875|111.583,
-89.585625|0.010875,-91.1375|0.010875,-95.662125|0.02175,-91.9365|0.0435,-90.315875|0.0,-93.125875|0.064,-10.01|0.0,-81.064375|0.011625,-84.1975|0.012,-81.64725|0.02425,-88.0895|0.0465,-88.986625|0.01175,-92.406625|0.0,-88.547|0.034875,-93.222875|0.093,-194.678|112.615375,-196.880375|113.321,-199.191375|113.66775,-200.03275|114.682625,-197.299625|112.902375,-197.27025|114.237,-199.15125|113.32975,-171.224125|93.595125,-198.722875|114.931625,-195.3985|113.137875,-197.49225|112.71625,-195.072125|114.28975,-196.461625|113.169625,-196.02|112.1445,-197.989|114.643625,-190.286125|106.819875,-187.469|105.253875,-191.588|107.699875,-192.96075|109.189,-189.663125|106.71625,-187.723375|106.1235,-175.4065|94.45525,-189.191|106.57,-188.06875|106.8455,-191.488625|108.8905,-192.34175|108.117875,-190.661|108.61375,-189.133625|106.919625,-187.753|106.220625,-191.85725|109.11775,-200.1865|110.213125,-202.282125|113.121,-199.30525|109.44125,-201.19525|110.046375,-201.639375|111.767125,-202.277375|112.099375,-202.684375|111.297875,-200.2015|110.63025,-198.584125|110.116125,-202.129625|110.126375,-194.7885|110.75525,-199.782|109.8025,-200.396|111.074125,-199.59875|109.0605,-202.22375|110.59375,-201.95025|113.265,-202.601125|115.078875,-205.1105|114.54475,-204.060375|114.285625,-200.22475|112.290875,-207.789375|113.34375,-207.280625|114.011375,-207.75325|115.011625,-205.351625|114.457625,-205.115875|114.344125,-199.784375|113.700625,-200.72275|114.31825,-202.8675|113.02825,-202.94175|114.759125,-205.474|112.809125,
-82.46475|0.0975,-86.45025|0.02375,-84.608875|0.035625,-82.944875|0.0475,-92.98675|0.0725,-87.41325|0.011875,-90.798125|0.0475,-8.008|0.0,-81.668|0.0,-78.05775|0.02625,-80.76525|0.02525,-79.381625|0.0255,-85.0725|0.085625,-85.666375|0.037875,-80.538625|0.039,-200.454125|106.208625,-200.61975|106.84,-202.145125|105.6865,-200.48775|106.8905,-203.5825|107.79175,-201.8895|107.6355,-202.393375|106.12875,-192.548125|108.3425,-202.336875|108.129875,-200.95275|107.0815,-201.669625|107.255,-200.682125|106.50125,-196.53325|105.73025,-204.169375|108.841,-200.2885|108.424,-202.25075|103.9245,-199.878875|102.05375,-206.9865|104.767875,-207.35475|106.49575,-203.748125|103.67475,-202.721625|104.305375,-200.7425|105.72225,-203.353125|105.191,-200.947375|104.7415,-202.518125|105.794375,-205.682|105.197,-205.953125|105.64575,-204.250125|104.822,-203.681|104.7655,-205.43475|105.229125,-200.3755|108.2295,-200.829125|108.056875,-199.405|107.94275,-202.24625|110.887625,-200.685375|108.157,-200.88525|108.514625,-200.4575|109.01175,-197.691375|107.674125,-201.66125|109.580375,-201.903125|108.66,-195.0145|108.8055,-201.942625|109.303875,-197.20375|107.2875,-202.527375|109.484,-201.262|110.603,-207.0925|113.964125,-201.536|111.563,-204.654375|112.84675,-205.958625|112.532375,-205.851875|114.185875,-205.25625|110.61475,-208.24325|113.657,-206.252625|113.222875,-206.9185|112.926875,-206.323125|113.121875,-201.071125|111.2505,-203.089375|111.610875,-201.764625|112.356,-205.522|112.678875,-205.01375|112.19225,
-77.753|0.17825,-84.4445|0.0,-85.104125|0.0,-77.51925|0.05875,-86.0175|0.01225,-79.691125|0.0585,-83.89225|0.0,-82.284125|0.08425,-11.011|0.0,-72.264375|0.0405,-74.304125|0.026,-79.17775|0.013125,-75.72825|0.063,-78.407625|0.013,-78.224375|0.062625,-201.603875|108.00075,-200.390875|108.29775,-201.9175|106.46825,-199.747|106.87425,-199.929|107.21825,-200.39275|108.26425,-203.621|108.0255,-193.6425|108.315,-200.576875|107.34975,-200.861125|106.77125,-197.399875|104.565,-198.295125|106.7355,-199.923125|107.8275,-200.93775|107.03625,-200.950125|107.635,-205.466875|105.66,-203.168125|103.652,-208.088125|105.83975,-206.19225|103.7995,-206.247875|106.3305,-202.898125|105.68475,-198.27075|103.01,-205.608375|105.54575,-199.55025|104.0285,-200.1695|103.25325,-204.020375|104.623,-201.48925|103.97225,-203.162|103.7025,-201.434375|104.667,-203.808125|103.02275,-202.444625|109.263,-201.430625|108.402,-202.217|107.84675,-200.1|108.9565,-200.0955|108.8135,-197.177625|107.8365,-203.18|109.65375,-198.84575|108.00375,-198.834375|106.674,-198.949875|107.2255,-194.69525|108.784,-198.869875|106.8825,-199.484625|108.14375,-200.786|109.3875,-200.015375|109.902,-205.732125|112.64675,-202.6945|111.33825,-203.66225|113.903,-204.265625|113.14675,-201.010375|111.17775,-207.15175|112.3125,-206.447125|113.64325,-204.26575|112.74775,-203.446|110.89725,-203.591|110.98775,-200.927875|113.14125,-199.200375|111.7145,-204.6475|113.9345,-203.801875|112.90625,-207.17825|111.6005,
-66.319375|0.0265,-69.797625|0.0265,-74.326375|0.1005,-66.621125|0.053,-71.198625|0.09875,-70.391375|0.07275,-79.306875|0.0485,-72.378125|0.03975,-72.77225|0.049,-11.011|0.0,-67.341375|0.028,-64.841|0.07325,-68.410875|0.0145,-64.435125|0.028,-63.167875|0.014375,-198.623|108.923,-197.781625|106.19875,-201.429375|107.472,-202.247|109.55775,-198.2|108.04125,-198.635|108.764,-203.117875|108.55475,-189.847875|108.4835,-199.849|107.13775,-198.45075|107.776,-201.48475|109.2335,-197.901|107.421,-200.333|109.34825,-198.05|107.01025,-196.978625|108.72525,-199.381875|104.826,-202.863625|105.3965,-205.701375|104.5835,-204.219625|105.92975,-202.321375|105.0735,-201.715125|106.21025,-202.530875|106.86225,-203.26425|104.96775,-201.0525|103.72975,-203.01475|107.027,-202.864625|105.93575,-207.854375|107.9005,-203.83275|106.387875,-201.48525|106.36575,-204.257375|107.5495,-198.449125|108.6615,-200.11725|110.56225,-201.412|110.82325,-199.416375|110.14875,-203.03875|111.43425,-199.503625|109.4055,-199.44325|109.7205,-199.10925|110.459,-197.022125|107.9795,-200.004375|109.925,-193.673|111.381,-199.149875|108.994,-195.892125|108.518,-201.365|110.64825,-200.707|111.01075,-199.304375|117.64925,-201.01675|118.703875,-198.005375|117.405875,-204.524|121.5145,-201.557625|118.5815,-201.21775|118.684,-203.223625|120.7905,-202.065375|118.29125,-200.349375|119.768,-199.61725|118.33175,-189.630625|109.201125,-200.34225|118.32825,-198.83225|117.572625,-199.36875|118.857375,-200.700875|119.43675,
