-11.011|0.0,-20.04675|1.980125,-21.086|1.837,-20.369125|2.175375,-21.219375|1.78425,-66.89725|39.28525,-65.15825|38.187,-66.16525|38.506625,-65.811|38.3115,-66.188625|38.416,-63.293|31.868,-63.681375|31.718,-63.281625|31.61275,-62.457125|31.895625,-62.56225|31.19625,-61.1775|36.270875,-62.472625|36.652125,-61.685125|36.210625,-61.960625|36.522,-55.998625|31.371125,-67.577375|40.22525,-68.29525|39.396375,-69.376625|39.461125,-68.6545|38.898625,-69.31025|39.86225,
-22.139875|2.487625,-8.008|0.0,-34.2115|2.463625,-35.571125|2.680625,-34.29625|2.22925,-66.09975|38.08375,-64.778|38.419375,-68.3795|39.159125,-68.05725|38.913,-67.57625|37.949625,-65.53975|31.97125,-65.19375|32.60175,-64.31625|31.2915,-62.534625|32.254125,-63.861125|32.49825,-66.328125|37.696,-67.316375|36.92925,-67.105625|37.240625,-66.863375|36.923125,-67.434125|37.3455,-52.210125|29.589,-66.32975|39.861375,-66.219375|39.817,-65.819125|39.39925,-66.617|39.945,
-36.436625|2.713375,-36.36475|2.74525,-10.01|0.0,-36.323875|2.840875,-36.821125|2.626375,-67.472|38.02625,-64.459|37.56025,-68.330625|37.584875,-68.339875|38.096625,-69.26075|38.239375,-65.575625|32.23325,-64.61525|31.4485,-65.034125|31.87125,-62.404875|31.918,-64.2345|31.830375,-68.278|37.022875,-67.432625|36.392375,-68.1665|36.22325,-68.007|36.825375,-68.449125|36.850875,-68.20475|39.48225,-69.7365|39.127,-70.31625|38.865125,-70.33125|39.224125,-69.608375|38.76075,
-34.616875|2.162875,-34.47525|2.063625,-34.321625|2.27075,-8.008|0.0,-33.4805|2.11225,-64.329375|39.204375,-53.634875|30.425125,-65.132375|38.99275,-65.151375|39.086375,-64.834625|38.511375,-64.607125|32.064875,-65.25325|31.991375,-64.33725|31.790125,-61.8725|32.074375,-63.720875|31.848625,-66.28625|35.785625,-66.54275|35.9525,-66.38875|35.992375,-67.342375|35.8,-66.715375|35.681125,-66.778125|38.986875,-68.538|39.095625,-69.629625|39.30875,-68.202875|38.786875,-69.0165|38.3535,
-34.898625|2.90625,-34.306125|2.9055,-35.237625|2.84075,-35.396625|3.16275,-9.009|0.0,-66.69825|38.5045,-65.914625|38.92625,-67.986625|37.90875,-68.8955|38.045625,-67.90175|37.776125,-62.269625|32.4255,-62.372|32.338625,-61.22075|31.7365,-48.971|23.430875,-60.632875|31.62575,-67.387125|37.335125,-67.41825|36.163625,-67.035875|36.44975,-67.86775|36.270125,-67.544625|36.738625,-68.11725|40.132,-68.215125|38.808125,-68.970375|38.492625,-69.496|39.747125,-68.969625|39.45525,
-65.056875|30.074625,-64.531|29.854,-65.496125|30.01275,-63.60075|29.786125,-63.547375|28.98525,-8.008|0.0,-30.29125|3.5805,-18.8305|2.505625,-21.40425|2.678375,-21.17025|2.846875,-59.597125|31.154875,-47.1485|22.442125,-61.050625|31.340125,-61.3165|31.52375,-60.74925|31.4385,-64.443625|35.285625,-65.0365|35.3065,-64.750375|34.9695,-64.952125|35.610875,-65.2855|35.431125,-62.810875|37.24425,-56.144125|31.66125,-64.4175|38.23875,-64.62425|38.3685,-64.914375|38.2785,
-63.00125|30.167625,-62.745875|30.168125,-63.034|30.714,-61.344375|30.218125,-61.99|29.94875,-25.7195|3.155125,-10.01|0.0,-32.972625|2.765875,-36.250625|2.959375,-37.283875|3.154125,-63.893125|31.580875,-62.144125|31.5935,-65.338625|32.302875,-64.66025|32.0445,-65.277125|32.42375,-64.559625|36.58975,-65.408625|36.706,-63.96775|36.559875,-60.753|35.13475,-64.583375|37.412375,-68.79775|38.669875,-68.8825|38.682625,-69.166|38.4605,-69.884875|39.3855,-69.537125|38.749125,
-66.445875|29.1835,-67.092125|29.482375,-67.268875|29.74025,-64.94125|30.082375,-65.384125|29.457,-43.455375|4.533375,-43.321625|5.10425,-8.008|0.0,-36.03325|4.354625,-37.266625|4.49,-64.04775|30.63125,-64.039875|31.55375,-66.045125|31.19125,-66.56825|31.5685,-65.611875|31.24075,-67.89775|35.727125,-68.002375|35.25325,-69.480125|36.155375,-67.07325|35.834625,-68.816125|36.485375,-70.00525|38.0875,-70.978875|38.43375,-71.53|38.44325,-71.284375|37.949625,-70.55825|37.5715,
-66.2025|29.406125,-65.394|28.719875,-66.139875|29.145625,-64.980875|29.987625,-65.308|29.12475,-38.93925|3.10375,-39.633625|3.2535,-33.546125|3.118125,-11.011|0.0,-34.7235|3.06975,-63.05525|30.6555,-62.6015|30.99325,-66.183625|31.63475,-64.4925|29.9205,-65.73375|30.9065,-67.21|35.303875,-67.8095|35.583875,-68.186125|35.724375,-67.12125|35.23875,-67.78|35.43925,-71.113125|38.027375,-71.203|37.52975,-71.411375|37.47725,-70.251875|37.573875,-70.840875|37.777875,
-66.066375|29.212625,-66.609125|28.9485,-65.88675|29.451125,-63.930625|29.383375,-66.20025|29.605375,-35.39525|3.24525,-36.524125|3.772875,-34.460875|3.7585,-34.153|3.768625,-11.011|0.0,-62.8755|30.99125,-62.47025|30.8945,-65.37525|30.52175,-64.1955|30.0585,-64.974|30.5045,-67.140875|35.6305,-68.661875|35.994375,-68.631625|35.694125,-65.372625|35.038375,-67.996|35.20625,-69.100125|37.812375,-70.620625|37.779375,-70.860125|37.501625,-70.682125|37.75775,-71.191125|37.99575,
-65.558875|30.454875,-65.650875|30.723,-66.082125|30.576,-64.492125|30.051125,-64.2755|30.54975,-64.821|38.08275,-66.951875|38.488,-67.0135|38.86975,-66.496|38.384,-66.4405|38.469,-8.008|0.0,-24.67525|2.834625,-22.501875|3.2415,-24.786375|2.977125,-31.3375|4.630875,-67.117|36.842,-68.074125|37.697,-67.375625|37.1395,-66.35975|36.947125,-66.468875|37.0455,-68.770375|39.582625,-68.2425|39.499625,-69.474125|39.1675,-70.7735|40.1075,-69.974625|39.297875,
-65.48925|30.743375,-63.9835|29.98675,-64.932375|30.453375,-65.621125|30.56525,-63.428875|30.316125,-64.12125|39.939875,-64.12125|39.4455,-63.97225|39.22975,-63.47225|38.975875,-64.002625|39.346375,-20.126625|2.60025,-9.009|0.0,-33.58125|3.398125,-33.969625|3.3735,-37.33925|3.922,-66.248625|36.80225,-67.786|36.933875,-67.454|36.77375,-67.353375|37.01,-66.085|36.683,-70.06775|39.843,-67.67325|39.164625,-69.723125|38.870625,-70.6645|39.227,-70.795125|39.72325,
