subgame,61
hierarchical,20
psne,4
meb,11
qre,27
subgame,73
hierarchical,23
psne,5
meb,10
qre,22
subgame,765
hierarchical,47
psne,7
meb,8
qre,46
subgame,187
hierarchical,394
psne,66
meb,8
qre,315
subgame,200
hierarchical,946
psne,137
meb,11
qre,849
