-11.0055|0.0,-65.9945|0.672125,-64.664375|0.4836875,-60.636875|0.651875,-60.5039375|0.6755625,-65.41975|0.7421875,-70.3381875|0.394375,-59.0060625|0.659125,-66.89825|0.5835,-57.0365625|0.593125,-239.634|107.7305,-239.0161875|107.3771875,-243.1453125|108.190875,-240.944125|107.036375,-236.023|106.252875,-240.523125|109.5521875,-241.554875|106.597625,-241.07075|109.2565625,-236.6718125|107.0854375,-239.31225|108.9631875,-228.261|112.2289375,-228.729375|113.435125,-228.7016875|114.8823125,-233.199125|115.1419375,-228.6255|113.0915,-229.2676875|113.3744375,-228.4938125|111.8374375,-232.251375|115.3219375,-230.5410625|114.919875,-212.8756875|100.7723125,-241.5438125|111.0251875,-254.2634375|111.60675,-246.018|112.6653125,-244.4179375|111.7829375,-246.37525|112.8548125,-242.7510625|110.7969375,-242.6375|111.7658125,-244.6215625|111.3789375,-245.4158125|112.691875,-245.9274375|112.6003125,-222.77725|100.3918125,-233.646625|114.5063125,-233.98175|112.664125,-236.4714375|114.33025,-236.07075|113.1230625,-238.3233125|114.0375625,-238.895125|115.64625,-233.069375|112.1895,-234.171125|112.376625,-238.797125|113.6974375,-248.526875|114.828875,-242.78775|111.2356875,-241.5|111.780125,-248.4968125|114.2246875,-245.422375|111.684,-247.2674375|109.730625,-248.0166875|113.215625,-245.621375|112.232625,-246.7795625|111.4296875,-248.39275|114.268625,-246.1700625|116.3305625,-247.1721875|116.6876875,-247.059875|115.01725,-246.782125|114.5015,-240.3148125|115.1696875,-243.70575|112.2840625,-244.4060625|114.1285,-245.022875|114.7469375,-241.216125|112.7130625,-244.7620625|115.4429375,-249.1111875|112.986375,-246.168375|111.8073125,-245.3513125|111.2103125,-244.734125|114.500125,-251.069625|114.765,-249.713125|113.7524375,-250.623|112.3079375,-250.124125|114.3148125,-250.858125|113.8081875,-253.5285625|114.42525,-245.94775|116.5186875,-247.5833125|118.1374375,-244.759125|116.1533125,-248.3675|118.711,-248.5141875|117.401,-245.092375|114.821,-250.1870625|118.69475,-250.97325|118.2235,-243.6550625|116.9730625,-241.0508125|116.5233125,-250.2735625|113.6225625,-250.989875|112.8609375,-249.662375|113.373875,-249.4596875|115.974375,-245.3328125|113.1681875,-246.423625|113.97325,-252.4166875|116.41325,-250.5071875|113.2193125,-248.5674375|112.806375,-251.4511875|113.6009375,
-72.8591875|0.4468125,-8.004|0.0,-158.4239375|0.721,-160.732375|0.549625,-144.2331875|0.3654375,-152.7903125|0.57325,-145.4845|0.4656875,-167.86925|0.526625,-142.1709375|0.674375,-149.80175|0.4405625,-241.1965625|106.794625,-240.7125|104.9003125,-249.129|108.225125,-242.7295625|105.19975,-244.61375|105.9365,-237.7789375|103.83175,-245.8614375|108.5395,-245.4201875|107.1596875,-242.20325|105.9185625,-241.325125|105.3209375,-240.77425|109.3016875,-247.9186875|112.7486875,-244.193|110.3078125,-242.563875|108.29725,-245.21425|110.059875,-244.282|109.3008125,-243.29725|108.5290625,-247.1810625|110.386375,-242.412125|108.6945625,-241.272125|109.126,-246.3354375|107.602625,-256.6105625|109.0246875,-246.235|110.207875,-245.867875|109.23225,-246.2063125|108.980125,-245.685375|108.6445625,-246.228125|111.2065625,-242.289375|108.7605625,-247.014875|109.6253125,-246.8563125|110.5841875,-252.8961875|110.36725,-250.7220625|112.5590625,-248.003|109.1870625,-248.29475|108.8169375,-250.7721875|109.3489375,-247.961125|109.2006875,-250.187875|109.190125,-250.3284375|109.325125,-252.174625|112.8461875,-248.4289375|108.2705625,-252.6180625|112.1720625,-248.7480625|109.041625,-251.0995|109.081,-246.2184375|107.434125,-250.40725|108.1860625,-252.60675|110.984875,-247.971|109.256875,-248.119375|110.13075,-250.191|110.9849375,-249.7363125|110.2670625,-251.032625|110.292,-245.351625|109.934875,-250.2224375|109.2463125,-248.5569375|109.1315625,-239.048625|110.2100625,-242.442|108.403125,-247.411875|111.0475,-255.0765625|111.67475,-249.859875|110.1030625,-254.01875|112.6964375,-254.4351875|111.1291875,-250.8156875|111.284125,-254.744625|110.1226875,-241.962125|109.87625,-255.4000625|110.8526875,-254.8180625|111.133125,-251.6880625|111.367875,-250.403|110.835,-252.714375|109.9305,-253.21975|110.54925,-247.71525|113.6245,-250.7139375|116.0735625,-244.4138125|113.3678125,-246.7811875|115.5055625,-249.8439375|115.9139375,-246.266625|113.97,-253.0606875|118.0728125,-250.1271875|115.3105625,-245.298375|114.5959375,-244.05275|115.77875,-253.485|112.5834375,-253.8404375|108.7545625,-254.042375|111.3438125,-249.0336875|109.8330625,-249.00175|110.5038125,-248.8235625|111.4470625,-249.981875|109.3489375,-251.732875|112.7710625,-251.8005|110.4245625,-256.017875|111.215875,
-128.0594375|0.4924375,-139.3235625|0.486,-10.005|0.0,-136.4395|0.5261875,-136.9519375|0.9044375,-150.656375|0.920125,-145.5859375|0.539375,-150.990875|0.8418125,-141.843125|0.4916875,-149.1470625|0.7604375,-235.6303125|105.5818125,-239.733375|106.72275,-238.6031875|106.4900625,-240.050625|105.77825,-233.35875|105.895125,-236.324375|104.82725,-241.627625|107.020375,-241.4928125|107.450125,-240.426375|106.9660625,-236.636875|106.1065625,-238.68225|109.558375,-240.1909375|111.0006875,-241.50575|112.2425,-243.511375|111.3745,-242.0814375|111.4630625,-244.098375|112.5335,-244.5620625|110.896375,-242.3546875|111.059875,-243.9643125|112.4451875,-242.812375|113.3546875,-245.304625|111.22475,-248.8285|110.033875,-247.261375|113.4355625,-239.1160625|109.789375,-242.7878125|110.1658125,-243.2873125|111.9405,-239.38375|109.08275,-240.6035|109.2285,-242.999|112.1240625,-238.3426875|107.0041875,-254.5333125|111.820125,-252.9689375|112.39725,-252.446125|110.9956875,-250.9631875|110.7144375,-251.4950625|111.00275,-252.4610625|113.04725,-251.5675625|112.0645,-249.5755625|109.7239375,-251.5213125|111.2714375,-249.3746875|109.435875,-251.96525|112.62025,-249.1940625|111.343875,-249.2668125|110.1859375,-244.099625|110.5254375,-248.319625|111.6545,-249.6318125|111.1984375,-248.131125|113.0739375,-243.58325|110.7828125,-246.26525|109.756625,-244.9846875|111.355625,-247.7863125|111.2844375,-246.901125|115.616875,-250.0883125|116.015,-249.5275625|115.2491875,-237.81375|113.055375,-244.9510625|113.4021875,-246.551125|114.3375625,-252.3169375|113.0648125,-243.4419375|110.299,-249.783375|112.32525,-248.0068125|110.83775,-250.6823125|112.515125,-251.855875|112.50025,-241.429|112.968875,-249.9575625|110.24575,-254.4658125|113.316,-250.1215|112.417125,-251.293375|112.204375,-247.674875|111.9685625,-248.31875|110.8149375,-247.702125|117.1260625,-247.9459375|117.6511875,-247.2856875|117.145625,-247.302875|115.9819375,-246.2276875|117.30725,-245.0708125|115.96625,-246.103875|115.7216875,-245.728125|116.6064375,-247.6068125|114.7939375,-243.5164375|118.34575,-242.1321875|116.474375,-238.550125|110.2046875,-244.2288125|117.8755625,-242.5098125|116.4775625,-241.6083125|115.0909375,-240.0084375|116.8809375,-244.40425|115.8384375,-242.63525|117.759125,-244.8629375|118.8820625,-241.7065|116.0019375,
-127.6765|0.847625,-143.3550625|0.9206875,-140.0201875|0.8874375,-8.004|0.0,-122.533125|0.940875,-125.062625|1.1685625,-131.7660625|0.7760625,-131.20325|0.61925,-127.9556875|0.564625,-122.2721875|0.8473125,-236.3571875|107.3921875,-236.1930625|107.4370625,-236.437125|106.9390625,-238.304125|109.4046875,-234.5153125|107.11075,-236.854|106.4395625,-237.517625|106.5529375,-240.991625|109.060375,-236.300375|106.178125,-237.5414375|107.7895,-240.1313125|112.66725,-238.0349375|112.112625,-239.7490625|111.060875,-240.4645|110.4526875,-242.200125|112.1228125,-241.754625|112.549375,-240.784|109.951375,-238.4294375|109.820125,-242.33975|113.8839375,-235.6220625|110.1763125,-238.18225|113.93725,-235.19725|107.8135,-238.569125|114.82575,-240.9468125|115.4905,-236.288125|113.2079375,-237.2454375|114.358875,-236.786875|112.249125,-236.7770625|113.859,-236.772875|114.734125,-236.4851875|112.9509375,-252.1595|110.731,-250.079|112.8141875,-247.5424375|109.736625,-246.8785625|112.315875,-246.6129375|111.5246875,-245.98225|110.349375,-250.92175|113.13275,-248.379125|110.7990625,-253.744625|112.9219375,-245.40175|111.478125,-245.28225|112.2624375,-244.479125|109.404,-245.4076875|110.18425,-240.6991875|110.85075,-246.2899375|112.42075,-247.2529375|111.9045,-245.268125|110.9463125,-242.0863125|111.4051875,-243.8655|110.406375,-241.573|109.7109375,-248.26475|114.8986875,-245.5926875|114.36825,-246.2038125|113.59275,-244.249125|112.909125,-232.7269375|112.9063125,-243.133|111.617375,-243.76175|113.3138125,-250.17875|114.83975,-241.7361875|110.697875,-248.2269375|113.3728125,-251.327125|112.0253125,-249.0809375|112.6325625,-248.20125|111.2545625,-238.294|111.7139375,-253.284875|114.41425,-246.76525|113.4055625,-245.6845625|111.3719375,-247.5521875|111.529375,-245.8509375|113.678625,-246.777875|109.9753125,-245.0925625|118.174625,-240.9406875|114.847,-245.7188125|117.881375,-241.8656875|119.0159375,-244.355875|116.1675625,-239.446|115.76925,-244.743625|117.5146875,-243.9035625|118.8529375,-242.2754375|117.029375,-242.50975|118.8878125,-246.744625|112.3251875,-251.2035|113.5131875,-241.801125|111.2136875,-244.1635|113.977625,-248.651875|114.983125,-243.152375|111.4849375,-242.1680625|110.3305,-249.453|114.18,-248.1976875|113.2133125,-248.9620625|113.507375,
-114.799625|0.8560625,-118.6579375|0.73575,-131.14525|0.6444375,-126.0383125|0.9810625,-9.0045|0.0,-118.2150625|0.637625,-107.804375|0.8188125,-114.55925|0.835375,-118.7950625|0.869625,-112.638125|0.830125,-232.486125|105.5634375,-235.6080625|108.9859375,-234.05875|104.5033125,-230.957|106.01775,-228.741125|104.1183125,-233.63725|108.637625,-233.52625|106.4968125,-238.0633125|107.404,-236.4076875|109.0784375,-234.0996875|107.8155625,-238.3643125|113.21475,-237.38375|111.939,-234.1916875|109.4281875,-238.658125|111.8636875,-234.72475|111.1756875,-233.8178125|109.5415625,-236.68875|110.389375,-236.4728125|109.4809375,-237.9475|113.643625,-234.362|111.937875,-243.857375|112.5683125,-250.101625|110.9604375,-237.3551875|111.2461875,-237.475875|110.8455,-237.06425|110.5168125,-237.3169375|110.812375,-239.146875|111.445625,-240.2346875|112.1501875,-237.5268125|110.5825,-238.5419375|111.7523125,-248.9644375|112.360875,-249.6955|112.95125,-245.6319375|111.5956875,-244.7665|111.9840625,-248.60425|111.7885625,-246.230375|112.6719375,-244.4406875|111.3874375,-244.3461875|111.8529375,-243.3890625|109.095875,-249.9393125|113.4978125,-238.1651875|115.6615625,-237.55575|116.685125,-237.86875|114.0864375,-228.954875|107.689375,-237.230625|116.108375,-235.741125|114.7010625,-237.0003125|113.841125,-237.0168125|115.8325,-236.5204375|114.9866875,-238.5415625|115.6594375,-250.7335625|116.3890625,-242.4161875|113.551125,-244.858125|114.749,-240.8566875|113.461625,-237.6731875|115.3065,-239.984|112.3008125,-241.1713125|113.1310625,-246.74475|114.4945625,-243.11575|113.5449375,-242.6373125|114.758125,-246.7155|112.7545,-249.804|113.3528125,-245.9938125|112.7625,-235.8078125|110.4146875,-248.040875|111.92325,-244.6185625|112.82525,-247.0353125|113.5275625,-244.1405|111.5871875,-244.0956875|112.5275625,-246.3370625|112.193875,-241.3268125|117.6905,-237.6448125|114.5685625,-240.489625|115.8295,-240.17525|117.7600625,-240.7211875|115.927,-240.8104375|116.9853125,-244.0321875|118.5315625,-238.2904375|115.327625,-240.547125|116.2193125,-234.1705|115.437625,-245.4705|112.725,-247.9161875|113.7913125,-245.64975|114.4654375,-241.7090625|113.6275625,-243.048875|112.6405625,-241.311375|114.2446875,-244.2338125|114.4291875,-242.661375|111.893375,-245.57725|112.01975,-241.715375|111.36625,
-96.40675|0.7633125,-107.205625|1.2871875,-117.6359375|1.1641875,-109.1513125|0.535625,-101.19875|0.6851875,-8.004|0.0,-88.956625|0.9503125,-85.95325|0.8145625,-87.998375|0.6429375,-84.034|0.8218125,-224.733125|110.8693125,-221.2946875|107.5668125,-213.717625|102.222125,-224.3960625|113.1289375,-223.268125|112.1268125,-220.755|107.748375,-224.658875|108.9426875,-221.9569375|108.503875,-222.8721875|110.2541875,-227.6545625|111.9845625,-232.586|111.958,-234.60875|112.35525,-230.317375|111.4663125,-235.7140625|112.8034375,-236.858|115.8789375,-232.7739375|112.5765625,-234.8885|115.102375,-233.8549375|112.5931875,-236.03125|113.6758125,-229.39775|111.6344375,-239.4616875|113.365375,-242.2840625|110.188875,-236.0301875|113.3503125,-235.5980625|113.017625,-235.0063125|113.1675,-238.795125|115.15475,-233.9011875|111.245625,-234.8048125|112.8519375,-233.300625|111.445875,-235.4829375|113.4075625,-245.7266875|113.055375,-240.2680625|111.5536875,-244.177|112.0035625,-238.9645|110.8645625,-240.55875|110.217125,-239.945625|110.6618125,-241.2963125|111.3466875,-243.7225625|113.3216875,-241.1694375|112.497875,-240.7885|110.6956875,-240.0016875|114.0105625,-240.5439375|113.8263125,-240.7695|113.16,-242.0601875|114.9334375,-237.036125|110.9104375,-238.827375|112.0063125,-238.4184375|112.726,-239.2464375|113.83325,-240.8795|113.4061875,-240.5035625|114.4548125,-242.2488125|115.023,-237.366125|114.2635625,-239.74025|114.7085625,-237.37875|112.72325,-229.5045|113.666125,-239.56375|116.29375,-238.996|116.5840625,-246.0934375|117.626,-242.1403125|118.0191875,-237.48675|113.34375,-241.31375|118.161125,-241.8476875|120.14725,-242.6625625|119.6091875,-217.9624375|105.2058125,-240.429|119.001875,-241.285|118.4183125,-239.5390625|119.357125,-240.908625|119.3478125,-239.973125|119.48075,-241.206375|119.9659375,-241.504375|120.193125,-239.4014375|118.51475,-235.1115625|117.7631875,-237.4509375|117.365625,-238.2621875|117.368875,-234.60775|116.32175,-238.4284375|119.2195625,-237.99175|118.6975625,-238.391|119.0955,-230.79125|117.7208125,-239.2165|113.9476875,-246.7348125|115.91375,-238.2894375|114.77775,-237.8359375|111.959,-237.1309375|111.4269375,-238.46325|114.04075,-243.5740625|116.5086875,-242.806875|114.6014375,-246.276|116.551,-244.07425|114.7478125,
-86.3655|1.6219375,-94.4313125|1.0631875,-103.4558125|1.1313125,-108.7119375|0.888,-95.9476875|1.3020625,-104.889625|1.3568125,-10.005|0.0,-76.7078125|1.34275,-83.7985|1.367875,-80.4170625|1.1060625,-235.965625|108.6680625,-232.816|105.628625,-232.2435|105.8494375,-228.6874375|104.387,-231.8911875|104.9659375,-229.76975|105.467125,-233.276625|105.615875,-232.1480625|105.8174375,-228.3634375|104.513875,-232.611375|108.9325625,-233.4909375|108.74425,-227.811375|107.822875,-228.73675|109.1250625,-235.3550625|110.613,-232.1684375|108.373875,-234.153125|110.04425,-234.2740625|109.9583125,-234.1853125|110.1628125,-232.6095|108.6838125,-231.563625|111.814625,-235.96475|109.8293125,-244.4130625|108.872625,-238.2456875|108.441375,-235.4749375|109.4929375,-233.3251875|109.546375,-235.6210625|110.695375,-233.0535625|107.8995625,-234.1976875|108.899625,-233.48475|108.203125,-236.196|109.971375,-245.4855|109.720375,-241.649375|109.4729375,-240.18925|110.437,-244.0285625|109.54275,-242.985625|109.905,-242.7534375|109.614,-242.5574375|109.7854375,-242.851875|110.164625,-243.3668125|108.7989375,-242.0150625|110.5215,-237.899375|108.455375,-237.61125|108.4969375,-238.3491875|109.4484375,-241.0786875|110.6590625,-240.9974375|111.3535625,-241.168|110.7405625,-238.9666875|110.5935,-242.8170625|109.186125,-240.254125|109.2720625,-241.462125|109.1335,-240.635125|110.441,-238.968375|111.8490625,-239.364375|108.9209375,-237.80275|110.7815,-227.154625|110.013875,-236.482625|112.729,-240.1113125|112.373375,-243.005875|112.303,-240.199125|111.3775625,-242.0388125|112.0564375,-241.557375|110.7511875,-241.8338125|110.770625,-245.739125|111.1790625,-234.340875|110.3198125,-243.7265625|111.264,-247.3451875|112.0575,-241.571|108.796625,-239.7565|109.5669375,-245.3025625|111.8108125,-243.8018125|108.9001875,-243.282875|119.173875,-237.8765|114.9755,-236.3705|115.3600625,-234.5529375|113.8904375,-239.739|115.8629375,-239.4214375|115.6148125,-237.7954375|115.537,-239.157625|117.7578125,-240.0176875|116.21075,-235.3765625|116.1670625,-236.707|107.782875,-245.015125|111.2436875,-239.7233125|111.5078125,-237.076375|109.750625,-236.3285625|110.7483125,-240.4093125|112.321,-239.665875|109.9769375,-242.5919375|111.6486875,-240.2425|111.01475,-244.9385|111.716,
-73.7714375|0.7661875,-69.6250625|0.65225,-90.47825|0.81225,-85.5635625|0.8904375,-81.9090625|0.7029375,-91.4948125|0.6401875,-82.315625|0.617875,-8.004|0.0,-64.232125|0.7543125,-59.7156875|0.7485,-232.6369375|105.7069375,-228.5168125|104.060375,-233.9564375|107.3785625,-229.487|107.3431875,-228.3205625|104.27675,-225.8700625|102.8398125,-227.0528125|103.5269375,-228.580375|103.8336875,-229.681625|105.6830625,-228.30225|106.2806875,-227.502625|108.527125,-231.0433125|110.3646875,-232.5523125|110.322,-233.110125|110.4485625,-229.8665625|108.9998125,-229.492125|109.6734375,-233.0981875|111.8294375,-231.955125|109.8024375,-233.3710625|110.8809375,-228.9395|110.3405,-233.7743125|110.5129375,-239.5463125|106.4171875,-231.3991875|108.5016875,-232.54025|108.5420625,-231.48825|107.4316875,-231.5041875|109.918125,-234.2313125|109.251875,-233.1543125|108.583625,-231.1374375|109.57675,-233.6599375|110.092375,-243.1814375|109.6056875,-238.291|108.8634375,-240.572125|110.664125,-238.1159375|109.9378125,-240.93775|109.698,-237.472375|107.2840625,-238.3035|107.33125,-243.20775|109.96325,-240.7264375|108.7218125,-238.6256875|108.502375,-242.957625|112.1183125,-238.646|110.5189375,-237.6921875|108.489125,-237.049625|108.715375,-235.183625|107.48175,-236.9916875|108.2011875,-236.6585|108.5900625,-236.910875|108.577875,-235.5296875|109.50125,-235.0531875|108.429875,-240.535875|111.677125,-235.8558125|111.9205,-238.2760625|111.7631875,-235.8958125|110.827375,-228.7411875|111.9178125,-234.121|110.753375,-233.9898125|110.7275625,-242.9054375|114.7761875,-238.1320625|110.7110625,-239.117|110.605625,-240.9121875|108.7760625,-237.352125|107.844625,-241.5501875|111.4301875,-229.8001875|109.28325,-244.313125|111.742625,-241.8208125|110.6639375,-241.82325|110.2305,-238.0949375|108.1978125,-243.891|111.12775,-245.16875|110.6631875,-235.9384375|114.8384375,-233.7969375|113.412,-237.8390625|116.988,-234.2424375|114.268625,-235.61875|115.0548125,-235.0145625|113.6484375,-233.3575|114.251875,-235.0505|115.3408125,-238.293|117.1218125,-229.8470625|112.6680625,-239.5839375|111.1258125,-242.1240625|111.46175,-238.8558125|112.9134375,-239.3064375|112.2571875,-237.6153125|110.8660625,-236.0205|110.071625,-241.14725|112.332875,-239.7910625|111.8845625,-239.4814375|112.432875,-240.129875|111.384875,
-60.776625|1.2415,-52.9831875|1.0686875,-68.204875|1.4156875,-68.2595|1.08325,-60.915875|1.0524375,-71.4670625|0.8245625,-61.7236875|0.9271875,-60.0123125|1.3159375,-11.0055|0.0,-50.568625|1.52675,-227.8849375|108.812375,-229.27425|107.0939375,-230.0585|106.479375,-228.51425|106.0050625,-226.007|106.3435625,-228.793875|107.077625,-231.227125|107.3938125,-230.9174375|107.328375,-228.0136875|107.3354375,-227.7403125|107.3979375,-228.013625|110.5838125,-228.5143125|111.606625,-230.013625|111.427125,-228.241|111.4038125,-226.1658125|108.9881875,-230.478625|110.4725,-230.06475|110.4809375,-225.999|108.2505625,-233.213875|112.1195,-224.837125|111.119875,-236.2054375|112.3550625,-242.9294375|111.682875,-232.8886875|110.55375,-229.9645|110.4633125,-231.6434375|109.0019375,-230.1775625|110.813375,-229.0458125|109.02475,-232.1555|111.49025,-230.253|109.83175,-230.564875|110.5721875,-242.2878125|108.9808125,-241.6533125|113.052,-238.7241875|109.0825,-239.8019375|112.36875,-243.493125|113.64125,-241.7926875|112.0214375,-240.0381875|111.6098125,-241.581375|112.9426875,-239.465|112.5115625,-240.5084375|111.9186875,-235.2196875|110.0758125,-237.10725|111.6208125,-235.670875|110.254625,-238.519875|112.094875,-236.839375|113.381875,-237.170125|112.3296875,-238.4191875|113.491125,-234.8895|112.09825,-235.76775|110.485,-237.6885|113.3716875,-237.8374375|111.7643125,-236.3579375|113.77975,-236.35975|112.1175625,-238.3066875|111.76275,-228.1126875|111.5943125,-235.2683125|113.304875,-238.79425|116.4301875,-242.8669375|114.2923125,-235.37475|113.6991875,-239.8560625|114.18725,-239.154125|111.5348125,-243.506875|113.895875,-240.681375|111.45875,-228.78075|112.7924375,-241.9946875|112.434,-241.738375|113.65425,-237.51475|111.0276875,-239.8008125|112.2415625,-241.0703125|113.65325,-239.6985625|110.6618125,-236.281375|120.56975,-238.28075|121.362375,-235.772625|120.15675,-235.38175|121.5183125,-237.2639375|122.209375,-233.850375|120.3625625,-235.26075|121.0129375,-237.9175|121.1371875,-233.07525|118.012,-233.15325|118.28375,-238.8561875|112.8873125,-241.15375|112.5398125,-236.1051875|111.6886875,-233.52975|110.793,-236.3009375|115.1798125,-235.7048125|112.32125,-238.829375|111.3243125,-244.0390625|115.655125,-238.233375|112.6575,-238.4468125|113.31625,
-51.0980625|0.630125,-46.478625|0.95675,-51.2575|0.8061875,-52.7166875|0.5470625,-43.9805625|0.77825,-58.8234375|1.052625,-44.9040625|0.6235625,-46.775375|1.106,-53.8620625|0.950125,-11.0055|0.0,-230.4538125|109.138875,-225.4721875|105.6425,-229.7153125|107.87875,-228.2024375|108.4880625,-226.723|110.0055,-225.398625|106.459375,-226.06225|105.7919375,-231.1490625|107.6543125,-228.0229375|107.263125,-225.1790625|106.8609375,-224.8875625|111.1065,-224.55275|110.0513125,-227.158375|111.684,-227.1215625|110.2625625,-228.4573125|112.4606875,-225.118375|110.543125,-229.7593125|112.3654375,-228.704625|113.741875,-225.5533125|111.60175,-224.7035|113.105625,-231.52|110.74825,-241.7955625|113.995375,-227.975625|109.176125,-229.62|110.986125,-229.972125|111.9303125,-231.029125|113.4625,-230.9423125|112.5893125,-233.49975|114.1291875,-227.6393125|110.92375,-231.2633125|112.2830625,-241.0770625|111.4686875,-236.6645|111.636875,-238.5953125|113.530625,-235.930375|113.04575,-237.724125|111.402625,-236.0355|111.3430625,-236.82825|111.5400625,-237.127|110.036375,-240.1500625|113.3553125,-233.5969375|109.1423125,-237.4195625|111.43875,-234.219125|111.8289375,-234.017875|110.566125,-235.5605|114.0658125,-236.6279375|110.7520625,-237.0121875|112.346375,-235.4229375|113.4964375,-233.44175|110.8334375,-236.437375|112.4735,-235.792125|111.1236875,-237.1750625|117.5305,-234.2803125|117.23825,-238.7008125|118.42525,-231.3855625|116.2401875,-230.02825|117.0925,-225.6329375|111.194125,-230.0588125|116.2315,-232.7715625|114.4385625,-236.0094375|116.2496875,-236.5701875|117.414625,-235.330125|110.0560625,-239.9878125|112.629,-236.4124375|110.464125,-231.861625|113.5606875,-239.2293125|111.9620625,-233.58225|107.32475,-236.0584375|110.836125,-236.541875|113.523375,-240.0229375|112.3718125,-238.904125|112.4495625,-234.3678125|117.1245625,-230.024375|113.9243125,-232.8739375|118.6729375,-233.9106875|117.473375,-232.0564375|115.8378125,-233.4028125|116.0430625,-234.9598125|116.7819375,-229.08425|116.4133125,-233.096375|116.634875,-229.9825|116.8136875,-236.8381875|113.9625,-236.7441875|111.4215,-234.8564375|112.701375,-235.2126875|113.6544375,-233.635875|114.5550625,-234.675375|112.5915625,-237.439625|113.376875,-235.5880625|112.379,-232.76|112.9239375,-236.8814375|114.557125,
