-11.0055|0.0,-35.0805|0.786125,-39.32625|0.7551875,-38.2720625|0.613375,-40.247125|1.053625,-38.97175|0.745625,-40.288875|0.8996875,-34.716|0.9279375,-152.9041875|76.6931875,-154.21225|76.7914375,-152.2550625|76.943625,-153.7735625|77.835,-153.2425|76.2078125,-148.3769375|77.4789375,-151.2556875|76.83525,-149.9676875|75.805875,-153.9511875|77.77575,-155.0425625|78.6134375,-155.9329375|76.4216875,-153.641875|77.63025,-155.4351875|77.5643125,-151.472625|76.8389375,-152.25425|77.036,-154.7763125|77.7956875,-154.3928125|75.133875,-149.0374375|73.6238125,-156.0143125|74.23475,-156.237875|74.6971875,-155.3121875|73.3475625,-155.8673125|73.465875,-157.242875|74.6369375,-157.0980625|74.5055625,-151.9713125|73.5019375,-151.471|74.3629375,-155.859125|74.7493125,-155.26575|74.5548125,-156.5031875|74.89125,-154.826|75.123625,-155.586|74.9786875,-154.319375|74.9440625,-155.1380625|74.885125,-156.588125|76.342,-154.364625|75.75075,-150.7193125|75.4934375,-155.295125|74.682125,-156.073875|75.881625,-155.00975|74.556625,-154.5674375|75.4271875,-146.14675|78.8920625,-149.6753125|80.3076875,-147.167875|77.9689375,-147.9725625|78.797125,-147.256|78.3393125,-146.903125|79.522125,-140.2805625|70.7824375,-146.3551875|78.9484375,-147.5843125|80.6591875,-148.666375|79.905,-151.185|81.5473125,-150.09825|81.2240625,-132.25875|69.851125,-148.209125|81.3145625,-149.296125|81.7233125,-149.3718125|80.9544375,
-39.7379375|1.2291875,-8.004|0.0,-86.044375|1.299375,-86.49125|1.053,-85.2205625|1.243375,-92.904875|1.1014375,-86.6020625|1.0950625,-87.922875|0.880875,-152.357|75.000125,-152.487375|76.04575,-153.167|75.82075,-151.875875|74.503375,-150.859625|73.531875,-147.996375|76.896,-151.9249375|74.58175,-150.1350625|75.293375,-143.8909375|75.892125,-143.2853125|74.337125,-136.765|68.2604375,-145.6786875|76.7290625,-147.0415625|77.248875,-145.2308125|76.4478125,-146.6165625|78.0813125,-148.3156875|77.824,-153.709|72.38825,-151.9755625|74.279875,-160.8288125|73.7880625,-153.7141875|70.4538125,-158.8|73.3294375,-157.7416875|74.2093125,-158.3620625|73.818375,-158.0646875|73.5895,-150.9501875|72.8753125,-150.959125|74.157625,-157.686875|73.981875,-156.2875|73.792125,-158.041|73.8485,-157.655|74.2879375,-157.8524375|73.8475625,-157.8119375|74.1145,-155.0503125|74.1975,-156.8679375|73.515,-156.1705625|74.1739375,-149.0535625|73.2496875,-155.8288125|73.332375,-154.8516875|72.9665625,-156.0694375|73.84175,-156.3223125|74.964125,-157.223|76.8979375,-156.863375|77.589,-157.5839375|77.9051875,-158.1415|77.9245625,-156.5778125|77.54825,-157.2705625|76.9053125,-158.836|77.5231875,-155.933875|77.3434375,-154.2151875|76.7844375,-155.128625|76.8905,-155.8359375|78.565125,-157.605375|77.698375,-150.2228125|77.5261875,-154.6453125|78.0804375,-153.7471875|77.6433125,-152.902125|77.0748125,
-90.2551875|1.28775,-88.59175|1.180625,-10.005|0.0,-85.08825|1.5134375,-88.780375|1.4973125,-86.5814375|1.370125,-86.3338125|1.4193125,-80.665875|1.503125,-151.1166875|74.8883125,-153.1333125|74.687125,-150.683375|72.9808125,-150.2584375|73.7075625,-154.413375|74.9938125,-145.7673125|73.883875,-151.9068125|74.5659375,-150.7785625|74.768,-156.3268125|74.4823125,-156.5104375|74.2365625,-158.8095|75.6885625,-156.6108125|74.7950625,-157.8254375|75.4800625,-156.7055|75.2843125,-158.9855|77.1025,-157.464625|75.1540625,-155.861375|73.4825,-151.918|72.246,-159.871625|72.1433125,-156.1373125|71.7763125,-156.189625|71.2338125,-157.6686875|71.5385,-159.21375|73.1873125,-157.64975|72.17525,-153.43525|73.2555625,-152.8128125|73.71475,-159.1491875|73.7065625,-158.265|72.7000625,-157.4835625|72.5355,-156.12|73.583875,-157.292875|72.107375,-158.9249375|75.550375,-156.497375|74.14925,-157.8623125|73.77225,-155.0775|72.968125,-149.8620625|72.90325,-154.9668125|73.17925,-154.6078125|72.145375,-155.7583125|74.3313125,-154.648125|73.61725,-157.7444375|76.74275,-156.6389375|76.960625,-156.6635625|76.595375,-158.734|76.8273125,-158.1949375|76.4891875,-154.3851875|76.16325,-162.3866875|76.912875,-156.8755|77.1281875,-153.45625|75.907,-155.0148125|76.198,-155.5775|75.3629375,-156.4660625|77.350375,-150.8325625|77.7828125,-152.434625|75.837625,-156.327125|76.7815625,-152.9419375|75.786,
-82.6770625|1.5380625,-86.107625|1.1685,-87.01625|1.3263125,-8.004|0.0,-79.7679375|1.60975,-73.612125|1.3949375,-76.1335|1.4081875,-69.978375|1.437125,-152.8765|75.3626875,-152.006125|74.5074375,-152.190125|75.3684375,-152.44475|76.05825,-151.5694375|74.0224375,-144.0069375|75.383375,-150.5979375|74.8019375,-147.297125|73.6979375,-155.4638125|74.9745625,-155.5891875|75.9716875,-157.8028125|74.9279375,-155.2138125|75.917,-156.759125|74.8543125,-157.1426875|76.5685625,-156.0316875|75.446,-156.5170625|75.024,-152.159625|72.271875,-149.472875|72.3115,-157.5664375|73.2359375,-155.864125|72.679875,-157.42075|72.0531875,-156.307|72.3405625,-155.0824375|70.7163125,-159.318625|73.7480625,-150.626|72.945625,-149.597125|73.5016875,-152.7143125|72.179125,-158.2954375|73.30225,-157.2036875|72.5313125,-157.5751875|73.2918125,-158.47725|73.4659375,-157.1995|73.96675,-155.058125|72.10275,-156.2641875|73.1691875,-155.7841875|73.0135625,-149.178375|73.1711875,-155.3815|73.5349375,-151.146|71.7365,-154.497875|74.00825,-149.91|72.126125,-154.8939375|75.89825,-155.8189375|77.501,-155.80175|77.6815625,-154.2595|75.334,-156.131625|77.2659375,-155.883125|77.2585,-160.866|76.6046875,-153.030875|76.1064375,-152.890625|75.362875,-154.1649375|75.8560625,-156.856625|77.003,-155.0418125|77.2279375,-147.4880625|77.4173125,-151.6876875|77.460375,-151.8660625|76.0323125,-152.61275|76.838125,
-66.1408125|1.304375,-67.4858125|1.5933125,-70.7746875|1.728125,-68.91925|1.5560625,-9.0045|0.0,-57.51225|1.8378125,-58.599375|1.445375,-58.61425|1.8195,-146.258125|79.37775,-146.93275|79.407125,-147.0018125|79.3800625,-145.8863125|78.5095,-147.38125|79.7060625,-127.3573125|65.3518125,-145.11925|78.6081875,-145.8576875|78.65375,-152.703125|76.4094375,-151.683875|75.7875,-152.84125|75.567625,-153.1014375|76.25075,-152.1928125|77.4571875,-153.8076875|77.16075,-153.1886875|76.75075,-154.1044375|77.172375,-143.4528125|73.297125,-130.210125|63.8491875,-146.31375|74.0415625,-145.419875|73.7483125,-146.014125|73.9593125,-147.2385|74.60275,-145.4515|73.479875,-147.2660625|74.208375,-146.982375|73.9204375,-146.3268125|74.8316875,-152.6813125|74.21375,-155.7685|75.5514375,-155.249375|75.0400625,-154.2469375|75.890125,-156.8705625|75.843125,-153.0914375|74.61775,-152.8069375|76.1328125,-152.2734375|73.749,-154.5118125|75.195125,-144.7896875|73.9521875,-151.5675|73.769875,-152.3105625|75.0808125,-151.0080625|75.08425,-151.662125|74.9178125,-152.7481875|78.3574375,-155.2670625|78.9539375,-152.864875|78.0029375,-154.98575|79.074375,-152.610875|76.4345,-153.1128125|78.7736875,-157.91925|78.3565625,-148.9415|76.8698125,-153.02075|78.8836875,-150.510625|77.8155,-154.640375|79.3599375,-150.9324375|77.382125,-145.1470625|78.0391875,-150.2011875|79.3329375,-151.1570625|78.1490625,-150.786875|80.01425,
-59.042625|1.711,-61.61475|1.5258125,-64.48225|1.606625,-60.8165625|1.699625,-68.958625|1.613,-8.004|0.0,-52.835625|1.6139375,-49.9724375|1.5889375,-151.50775|74.747875,-150.5685|75.5275625,-147.4616875|73.71775,-147.97825|74.69225,-150.78975|74.0125,-143.5021875|74.4648125,-148.876875|74.4885,-146.4130625|73.5950625,-152.453375|74.2481875,-154.582375|75.809375,-155.6510625|75.2381875,-149.865|72.5694375,-152.5399375|74.0951875,-152.744625|75.603875,-154.1564375|75.7644375,-153.3065|75.406375,-149.4763125|72.06375,-147.3796875|72.385875,-156.192125|73.013625,-153.9598125|72.2590625,-153.15375|71.560625,-154.8655|72.523625,-156.2745625|72.2,-157.269125|73.9055625,-149.3048125|73.9070625,-147.00575|72.8719375,-150.961875|71.5771875,-151.3866875|70.8999375,-156.9344375|72.983,-153.4684375|73.171,-152.9223125|71.6950625,-157.1325625|73.4468125,-152.86075|73.7124375,-155.10975|73.8234375,-151.9485|72.5941875,-145.305875|73.7441875,-152.053125|72.474875,-150.6150625|72.367625,-153.62675|74.0239375,-151.5284375|72.88525,-153.5765625|76.13575,-153.8854375|76.3825625,-152.156625|76.121375,-154.948875|77.4376875,-154.6500625|77.9461875,-153.5391875|76.599,-157.6725625|76.0884375,-150.7764375|76.1553125,-152.83175|76.501375,-150.07175|75.6980625,-152.836875|77.218875,-154.3854375|77.526625,-142.9551875|76.15925,-148.9414375|76.42225,-151.6005|76.6734375,-150.1225625|76.8465625,
-57.7231875|2.5545,-51.1610625|2.3161875,-53.5616875|2.1494375,-51.056|2.04675,-62.7549375|2.47,-53.847125|2.2539375,-10.005|0.0,-45.268625|2.5944375,-150.3159375|74.4384375,-147.2968125|74.347875,-148.5000625|74.8515,-149.4146875|74.9156875,-150.281125|76.06925,-142.403625|74.423625,-149.231625|74.7535625,-146.64725|73.2005625,-152.254125|75.2503125,-153.4856875|75.5315,-153.481125|75.564,-152.5046875|75.3339375,-154.1003125|76.74825,-152.770875|75.7395625,-153.7291875|76.068875,-152.6921875|74.2308125,-149.7038125|72.9365,-146.9764375|72.4436875,-152.8468125|72.1160625,-154.4535|74.242,-155.7678125|72.4906875,-154.02375|72.58625,-155.394|71.6438125,-153.4835|72.983875,-149.2569375|73.199375,-147.371875|73.117625,-153.921875|73.2390625,-153.3428125|73.7815,-156.6664375|73.7875,-152.5193125|73.3683125,-156.258125|72.973125,-153.6084375|72.1536875,-153.342125|73.7965,-154.412625|74.581375,-153.188125|73.1585,-146.8043125|73.9175625,-151.26025|72.5106875,-152.0398125|72.641625,-150.8754375|73.0721875,-151.3914375|73.4908125,-152.53025|76.5016875,-153.992875|77.31625,-152.4465|76.892625,-154.428625|77.5309375,-153.191|78.001125,-152.2499375|76.6806875,-156.4344375|76.5878125,-152.86475|77.53325,-153.922125|78.28475,-151.191|76.21075,-152.9561875|77.1324375,-152.0346875|77.3245,-142.6091875|75.3183125,-149.8499375|77.3245,-152.0515|77.7231875,-150.58925|77.0029375,
-41.1751875|0.75925,-36.8328125|0.6685,-37.80075|0.71475,-36.4279375|0.7813125,-45.8379375|0.8053125,-36.6005625|0.707375,-39.274|1.10225,-8.004|0.0,-148.6594375|76.218875,-146.9523125|75.9336875,-146.771125|75.5048125,-148.0091875|76.3180625,-149.087875|76.5463125,-138.1071875|74.177125,-146.067125|75.72575,-145.9888125|76.4900625,-148.3111875|76.725375,-151.0193125|76.1219375,-150.40225|77.0275625,-150.399625|77.6550625,-151.497625|77.434875,-148.9143125|76.6900625,-150.3949375|77.2120625,-148.833375|76.15825,-147.916375|74.11225,-144.3158125|73.6795625,-152.7476875|74.149,-155.2358125|75.546375,-152.861625|74.202,-150.4929375|72.7258125,-154.3429375|74.9526875,-151.0546875|73.969625,-139.4340625|73.5075,-141.8733125|75.172625,-145.1595|76.054,-146.6033125|75.3395625,-145.4711875|74.5936875,-142.9886875|74.02475,-144.717|73.7184375,-145.08|74.0770625,-148.371875|77.65225,-150.0259375|78.1870625,-147.971375|77.9668125,-131.11725|65.4356875,-148.545875|77.7245,-147.2814375|76.9215,-146.3649375|76.4504375,-147.9390625|77.0446875,-151.671125|79.6896875,-151.7260625|78.5010625,-151.399125|78.730125,-150.5620625|77.5134375,-149.661|77.4609375,-150.7961875|78.07325,-151.7495|76.891125,-148.35275|77.650625,-150.533375|78.24275,-149.9195625|78.0685,-149.274|77.2490625,-149.7895625|78.4555625,-141.226875|77.6821875,-148.092625|78.3478125,-149.204|77.431125,-147.127625|77.5030625,
-149.3854375|65.8243125,-149.0279375|67.2963125,-150.068375|66.3998125,-150.69275|67.6723125,-145.0251875|67.381625,-147.7209375|65.806375,-150.9508125|66.3895625,-149.5999375|67.01475,-11.0055|0.0,-52.7090625|1.833625,-36.1721875|1.7335,-52.8931875|1.645625,-53.3785|1.7836875,-50.3508125|2.0204375,-42.2126875|1.555375,-39.427375|1.919,-153.428875|74.339125,-155.7908125|76.672625,-154.149875|75.4239375,-148.6010625|75.111625,-154.9710625|75.74425,-156.093125|75.3094375,-155.856125|76.8815625,-156.1244375|75.9135625,-156.766625|72.2340625,-154.965125|71.965625,-154.6760625|72.109,-156.7323125|72.2611875,-156.4421875|72.790625,-152.6889375|73.7314375,-154.510125|72.849375,-156.4770625|72.7836875,-154.169375|73.7185,-151.5896875|73.725,-155.42775|73.070625,-155.9604375|72.27275,-156.460875|73.530625,-156.4148125|73.68225,-155.84475|73.5411875,-155.445625|73.2139375,-147.90175|75.3190625,-150.1981875|76.071,-148.7080625|76.536375,-147.229875|75.1474375,-149.2663125|76.35975,-150.372125|75.7031875,-142.5396875|67.8438125,-145.550125|74.3420625,-154.1140625|77.5031875,-154.956125|76.9285625,-153.6734375|76.7175,-158.40225|78.28125,-154.615875|77.691375,-153.83575|75.608375,-154.1565625|77.2678125,-154.168375|76.322,-155.74675|77.1835,-150.3953125|75.5970625,-153.5334375|77.4598125,-153.50625|77.543125,-153.1770625|77.0143125,-149.9731875|76.43875,-150.952125|75.733,-152.6600625|76.8605625,
-149.23175|67.190375,-148.9996875|67.09425,-148.680125|66.292125,-150.6128125|66.0645,-141.81925|66.0661875,-146.8600625|65.5075625,-148.23325|67.165125,-149.35425|67.562875,-40.3663125|1.775375,-11.0055|0.0,-79.937125|1.9645,-75.966125|2.0026875,-85.164|1.8584375,-78.275875|1.8375625,-77.5813125|1.571875,-82.481|1.8623125,-153.511875|79.1238125,-149.5579375|77.247875,-150.4810625|77.0991875,-146.408875|77.4313125,-151.2308125|79.4114375,-151.0439375|78.1258125,-149.71275|78.045375,-148.172375|77.302375,-156.9265|72.343125,-155.69275|72.5313125,-156.4849375|72.9568125,-157.4855|73.31025,-155.1223125|72.02925,-150.3663125|72.6485625,-155.775875|73.343625,-154.828875|72.3781875,-154.985|73.7581875,-149.316125|72.107375,-155.54625|72.8165625,-156.62625|73.1296875,-159.1365625|73.3116875,-158.9051875|73.9694375,-158.5410625|73.96325,-158.5876875|73.1271875,-156.6629375|74.1558125,-154.455375|74.08725,-154.4283125|73.991,-152.7164375|72.238375,-153.15225|72.451875,-153.4655|72.8645,-156.9239375|74.6343125,-153.264375|73.330125,-154.0869375|78.04575,-151.1755625|76.233625,-151.445|76.43875,-153.203125|76.3165625,-152.0905625|76.4210625,-153.347875|77.4360625,-153.0411875|76.4940625,-153.7123125|77.3633125,-156.6463125|77.310375,-147.1571875|76.15175,-149.362375|76.6566875,-151.40975|76.52275,-150.0181875|76.8103125,-151.266|77.43525,-150.996|77.3011875,-149.7164375|76.3748125,
