-11.0055|0.0,-17.32475|2.4766875,-17.6200625|2.056125,-15.771625|2.52575,-44.7235625|22.37175,-44.6590625|22.3516875,-44.891|22.6591875,-43.981625|22.553875,-46.4648125|26.3259375,-46.61775|26.644125,-46.5579375|26.3765625,-33.9050625|17.31275,-47.4006875|28.26925,-47.8181875|28.2506875,-46.3235|27.8536875,-47.5903125|28.3046875,
-18.5911875|2.9541875,-8.004|0.0,-26.3543125|2.7036875,-25.68375|3.0579375,-42.9541875|22.2005625,-43.0660625|22.535375,-42.6323125|22.1738125,-30.97625|14.9055625,-47.3215625|25.847375,-47.250125|25.9263125,-47.7134375|25.6749375,-46.1021875|25.906,-43.1508125|26.8403125,-43.13425|26.8444375,-31.1946875|18.3725,-43.50625|26.9165,
-27.7844375|3.1828125,-27.73975|3.049375,-10.005|0.0,-29.6305625|3.3439375,-46.1005625|22.2014375,-45.546375|22.0585,-45.6715|22.4165625,-44.4294375|22.330375,-49.517125|26.4413125,-49.1925|26.175875,-49.314125|26.2541875,-47.666875|26.3431875,-48.6214375|27.953625,-48.447|27.892875,-46.6981875|27.9398125,-48.6989375|27.9640625,
-29.602625|3.168375,-30.4836875|3.293875,-30.4144375|3.2175,-8.004|0.0,-46.567625|22.0594375,-45.9054375|21.9734375,-46.358|21.9744375,-44.31625|21.9295625,-49.6465625|26.2044375,-49.8025625|26.051,-49.8648125|26.3351875,-47.861875|26.15625,-48.84825|27.5671875,-49.0005|27.6018125,-46.6841875|27.6188125,-48.46625|27.49375,
-46.253|23.3533125,-46.3150625|23.442125,-46.7233125|23.3588125,-46.2985|23.3335625,-9.0045|0.0,-15.98525|2.3760625,-17.3833125|2.7631875,-19.0204375|3.1225,-46.0184375|26.524,-35.1765625|19.123625,-45.930375|26.128625,-46.598625|26.60225,-45.809625|28.4936875,-45.6123125|28.1370625,-45.4966875|28.354375,-32.93775|19.4473125,
-47.5419375|23.103125,-46.636125|23.1315,-47.7451875|23.2125625,-47.465125|23.1025625,-16.537375|2.201125,-8.004|0.0,-25.5485625|2.716125,-24.56075|2.7166875,-48.7624375|26.4915,-47.7866875|26.3885,-48.5125625|26.2846875,-48.862125|26.2781875,-47.6241875|27.9173125,-47.803625|28.098,-47.3814375|28.020625,-46.6745|27.86625,
-47.4246875|22.6698125,-47.1546875|23.0551875,-48.2565625|23.0293125,-47.5391875|22.9125625,-27.9005625|2.925625,-27.2846875|3.0345,-10.005|0.0,-29.16075|3.472625,-49.7013125|26.3871875,-48.32425|26.5441875,-49.958875|26.0611875,-49.623875|26.2981875,-48.853875|27.589875,-48.97975|27.79125,-48.2225625|27.808125,-46.912|27.75025,
-42.5541875|21.7724375,-42.2543125|21.891875,-43.2506875|21.9746875,-43.542625|22.03375,-28.6289375|3.2749375,-27.1795625|3.2071875,-28.627125|3.3110625,-8.004|0.0,-49.3915625|26.3926875,-47.4576875|26.0830625,-49.1596875|26.1405625,-49.6543125|26.2966875,-48.859|28.1265,-48.659375|27.944875,-48.40225|27.87725,-46.802625|27.876,
-45.0749375|21.96925,-45.7644375|22.1139375,-45.6091875|22.118,-45.794625|22.1541875,-44.4841875|21.871875,-44.899125|21.935625,-44.9998125|22.1319375,-44.8214375|21.9513125,-11.0055|0.0,-23.124125|4.0429375,-17.6160625|2.266375,-21.55875|2.9370625,-45.6548125|27.6579375,-44.9895|27.547125,-33.7585625|19.079625,-45.495625|27.7395,
-46.0770625|22.638875,-46.595|22.457,-46.51975|22.326375,-46.399875|22.4623125,-40.36975|20.72825,-40.74325|20.7639375,-40.7783125|20.883875,-40.56825|20.604125,-19.3915|3.2765625,-11.0055|0.0,-25.4284375|2.4396875,-28.741875|3.0804375,-47.84925|27.970375,-47.627875|27.88875,-46.571|27.7915,-47.20775|27.5625625,
-46.7384375|22.555,-47.7388125|22.7105625,-47.3469375|22.7414375,-47.6590625|22.6315,-44.7148125|21.6874375,-45.6948125|21.801,-45.3595|21.6960625,-46.144625|21.8529375,-31.0229375|4.7930625,-31.5925|5.1154375,-8.004|0.0,-33.28825|4.8565,-48.801625|27.580125,-48.6075625|27.399,-47.4695|27.7276875,-48.3538125|27.4726875,
-44.2135625|22.8211875,-45.0900625|22.918125,-44.9150625|22.7808125,-44.703|22.9043125,-44.3738125|21.6013125,-45.328375|21.7264375,-45.4914375|21.6415625,-45.7618125|21.7979375,-31.9609375|3.8146875,-31.7841875|3.8571875,-31.0223125|3.9484375,-9.0045|0.0,-48.478875|27.416,-48.39625|27.48,-46.97475|27.39575,-48.28725|27.466125,
-46.6279375|22.75125,-46.490125|22.8088125,-47.4001875|22.94825,-47.2749375|23.095375,-44.4368125|21.84575,-45.4040625|22.082875,-45.22375|21.94825,-45.307875|22.142125,-48.3328125|26.22775,-48.9453125|26.1620625,-48.888875|26.0385,-49.0813125|25.9723125,-11.0055|0.0,-15.996625|2.5110625,-24.666875|4.882375,-21.577875|4.2259375,
