-11.0055|0.0,-13.1464375|1.9139375,-15.194125|2.395125,-28.0335|14.3066875,-27.932875|14.144125,-27.924875|14.2444375,-29.8638125|18.12925,-19.2088125|10.687625,-29.856875|18.2930625,
-15.92175|3.179625,-8.004|0.0,-22.81475|3.570375,-30.1756875|15.0378125,-29.084625|14.85475,-29.543125|14.8535,-32.601|19.0565,-32.293875|19.0676875,-32.6718125|19.2069375,
-23.2000625|4.041625,-22.90575|3.8221875,-10.005|0.0,-27.835|14.717125,-18.4114375|8.0159375,-27.3835625|14.4708125,-33.2525625|18.9366875,-32.5696875|19.1346875,-33.15175|19.181375,
-31.3246875|13.9610625,-31.272875|13.87475,-31.0075625|13.6319375,-8.004|0.0,-14.61375|1.9573125,-12.042875|2.3093125,-31.250125|18.7555,-21.178375|11.4760625,-31.5666875|18.8194375,
-31.6266875|14.659625,-31.2135|14.5746875,-30.4939375|14.269,-13.21825|3.1030625,-9.0045|0.0,-19.859375|3.746875,-32.6778125|19.032125,-32.633625|19.1549375,-32.7689375|19.192375,
-33.1545|14.68075,-32.8208125|14.620375,-32.4703125|14.45175,-21.780125|3.816125,-22.1323125|3.80625,-8.004|0.0,-33.319375|19.037625,-32.8015625|19.103,-33.7656875|19.138,
-32.1435|14.491,-32.1694375|14.498625,-32.00875|14.39425,-29.2169375|14.7869375,-29.5659375|14.7655,-28.985125|14.6598125,-10.005|0.0,-18.21775|4.4924375,-16.92175|4.194,
-30.3735|14.168,-30.854375|14.19875,-30.665375|14.017375,-27.48675|14.438125,-27.818625|14.314875,-27.5515|14.2645,-14.4933125|3.557,-8.004|0.0,-23.74175|4.771,
-32.242|14.27375,-32.642|14.07525,-32.48025|14.1165,-29.325|14.34475,-30.0454375|14.367375,-29.318|14.46325,-21.5550625|3.65975,-22.2900625|3.88175,-11.0055|0.0,
