-11.0055|0.0,-27.2944375|2.1801875,-26.315375|1.6645,-24.6005625|1.8949375,-24.4638125|1.4319375,-23.179375|1.646625,-88.2775625|45.33925,-88.889375|46.17325,-88.6999375|45.8200625,-89.466|46.2714375,-88.4240625|45.900125,-87.87375|46.316625,-89.65175|47.49025,-89.5806875|47.696625,-89.6289375|47.3028125,-89.0408125|47.7791875,-89.28625|47.6894375,-90.4003125|48.458125,-81.796125|47.3660625,-80.315125|47.039625,-81.341|47.1270625,-80.6685|47.1921875,-68.0920625|37.9100625,-80.302875|47.16275,-89.490625|44.2481875,-91.0038125|44.77425,-91.1793125|44.4115,-91.5874375|44.726625,-91.6733125|44.6978125,-91.3460625|44.7088125,-92.592875|46.90375,-92.1255625|47.6275,-92.4200625|47.150625,-92.279875|47.1976875,-92.97275|47.50325,-93.4165|47.8521875,
-27.05425|2.035625,-8.004|0.0,-43.589125|2.0685625,-43.77|1.97025,-42.287375|1.7789375,-46.1981875|1.8985,-81.8761875|45.7324375,-81.942625|45.5280625,-81.4151875|45.177,-81.7470625|45.4681875,-80.623875|45.0311875,-69.6905|35.8788125,-83.7185|47.6380625,-76.744375|41.42275,-82.4590625|47.1696875,-82.625625|46.8776875,-82.8038125|47.0559375,-83.0696875|47.47525,-88.769625|48.2971875,-88.537|47.9475,-88.8755625|48.5350625,-88.283|48.0685625,-86.608625|48.3245625,-87.6479375|48.1083125,-89.18775|45.519,-91.7271875|45.479875,-90.3449375|44.3959375,-92.303125|46.3295,-91.688|45.598125,-91.2869375|45.2376875,-91.98875|47.3916875,-92.1495625|48.0461875,-91.4328125|47.653,-91.3085625|47.39425,-92.4015|47.6648125,-91.6143125|47.1099375,
-44.5493125|2.1675,-43.79275|2.382375,-10.005|0.0,-45.6684375|2.4195625,-44.4598125|2.402,-43.1483125|2.4798125,-87.3528125|45.4753125,-89.204375|46.5271875,-89.750625|46.75625,-88.7525|46.1200625,-87.7589375|45.6131875,-87.10325|46.127625,-90.494|47.7285,-90.6061875|47.6336875,-89.3271875|47.68,-89.99075|47.31375,-90.615625|47.8735625,-90.6085|48.35275,-91.0775625|48.9411875,-90.122|48.3839375,-90.518125|48.9014375,-91.55175|49.59825,-88.6623125|49.2855,-90.3081875|48.7825,-73.1655625|35.508875,-85.1846875|43.41275,-85.4895625|44.1173125,-85.83375|43.9614375,-85.7994375|44.2245,-84.8935625|43.478375,-92.9511875|47.1825625,-91.5314375|46.909375,-92.241125|47.856125,-91.8851875|47.0071875,-92.925375|47.559,-93.38075|47.4821875,
-46.528125|1.7574375,-45.603875|1.7108125,-45.3743125|1.826125,-8.004|0.0,-36.210125|1.5589375,-36.544375|1.893125,-88.884625|45.3005,-88.611125|45.8135625,-89.248375|45.68825,-88.63175|45.36825,-88.357125|45.47175,-87.69475|46.3206875,-91.006625|47.747,-92.074375|48.1515625,-91.830375|48.10125,-89.2973125|47.3565,-91.4465|48.24525,-91.3353125|47.9963125,-91.48475|49.2549375,-90.93775|49.043375,-90.7976875|48.4349375,-90.7563125|49.102875,-87.8314375|48.333375,-89.6868125|48.7613125,-88.8193125|44.7985625,-91.2743125|44.9975625,-92.8544375|45.284375,-92.73225|44.9924375,-92.5543125|44.96025,-92.030625|45.2444375,-90.450125|48.5464375,-87.5058125|46.7288125,-90.2596875|48.5885,-90.6114375|48.4463125,-91.1681875|49.0229375,-91.2265|49.0903125,
-42.9534375|2.35625,-43.67675|2.5006875,-43.3323125|2.3009375,-41.517375|2.3726875,-9.0045|0.0,-37.6924375|2.5236875,-89.8018125|45.787375,-88.456125|45.39275,-89.1165625|44.74675,-89.8910625|45.6238125,-88.39225|45.1823125,-87.5405625|45.673875,-91.5380625|47.446125,-91.9855|47.77025,-92.3551875|47.9548125,-90.324375|47.5830625,-91.1181875|47.9835,-91.3656875|47.855375,-90.354625|48.401,-90.6285625|48.040375,-90.80375|48.2200625,-90.885875|48.0516875,-86.89575|48.4679375,-89.9688125|48.2929375,-88.71075|44.362875,-91.619375|44.069,-91.8815625|44.1315625,-91.0801875|44.161625,-92.070875|44.29875,-91.5115625|44.511625,-93.5280625|47.0010625,-93.052|47.3384375,-91.51975|46.537375,-92.10075|46.291375,-91.5780625|46.3944375,-92.478875|46.9860625,
-36.3816875|2.15275,-37.5248125|1.9176875,-37.8929375|1.9028125,-36.1269375|2.07925,-36.1695625|1.9263125,-8.004|0.0,-88.4633125|45.631625,-88.362125|45.1248125,-87.9368125|44.4514375,-88.51775|45.6798125,-88.5110625|45.7399375,-86.681|45.5964375,-91.034875|47.3746875,-90.54475|46.3184375,-89.6405625|46.8025,-90.2394375|47.1038125,-90.363125|47.36925,-91.25275|47.799,-89.375875|48.028375,-90.6215|47.908375,-90.16575|48.134125,-90.77275|48.3159375,-86.41075|48.091,-90.6531875|48.485,-88.65275|44.4144375,-91.2825625|44.089875,-92.069|44.7486875,-92.0201875|44.5606875,-91.1245625|43.917,-91.6634375|44.052,-92.8891875|46.559875,-91.847875|46.5081875,-92.242375|46.6496875,-92.6388125|46.94675,-91.632125|46.577125,-92.0541875|46.466375,
-87.36125|40.4620625,-86.5665625|39.9085625,-88.335|40.35,-88.3366875|40.420625,-86.8719375|39.8119375,-88.3618125|40.4026875,-10.005|0.0,-25.872625|2.459875,-30.54775|3.475375,-29.26325|3.243875,-35.346875|3.3421875,-41.3413125|4.3488125,-89.8718125|48.1038125,-90.022125|48.43225,-89.922875|47.7151875,-90.0326875|48.335,-90.8054375|47.66425,-90.2631875|47.935125,-91.240375|49.024125,-90.813625|48.7226875,-91.806|48.8838125,-91.883875|49.1649375,-90.6815625|48.5530625,-90.1121875|48.865875,-94.1614375|45.0081875,-94.0263125|44.3244375,-93.839625|44.5634375,-94.4524375|45.2674375,-93.4716875|45.640625,-93.758625|44.6411875,-95.365625|47.264125,-95.3378125|47.458375,-93.627625|46.895,-94.6583125|46.8020625,-94.2566875|47.1345,-94.823875|47.572,
-84.95625|39.33825,-86.018375|39.20125,-87.9446875|39.7890625,-87.23|39.140125,-87.8285625|39.0321875,-88.8896875|39.5531875,-26.4735|2.720875,-8.004|0.0,-47.4654375|2.903625,-44.8629375|2.7879375,-48.92|2.9179375,-50.2834375|3.1441875,-90.19325|47.3601875,-88.5018125|47.036,-90.2631875|47.636125,-89.5625|47.5261875,-91.870875|47.2880625,-90.1311875|47.717,-89.5525|47.5348125,-90.8640625|47.713,-91.167875|48.17,-91.20275|47.968,-90.59275|48.233875,-88.255875|48.0888125,-94.147|44.4764375,-93.608|44.67175,-92.4879375|44.325875,-92.83225|44.599125,-92.79175|44.67725,-94.6339375|43.61275,-96.14575|46.7769375,-95.334|45.9920625,-93.04075|46.6416875,-94.625125|46.8796875,-96.554|46.467375,-95.677875|47.236875,
-85.7353125|40.1870625,-85.3290625|40.3069375,-87.8425625|39.4219375,-87.8970625|39.844625,-87.74775|39.9360625,-87.9896875|39.7361875,-44.656125|2.9555625,-46.8693125|2.7555625,-11.0055|0.0,-44.0584375|2.74625,-45.998125|2.8476875,-49.2836875|3.328125,-88.6629375|46.603625,-89.1094375|47.843625,-88.716375|47.3064375,-89.19|47.74625,-90.366875|47.183,-89.093375|47.4556875,-90.1661875|47.9889375,-89.5854375|48.3224375,-90.1891875|48.4271875,-89.6359375|47.794875,-91.0099375|49.1374375,-88.029|48.291,-89.6536875|45.7624375,-89.3891875|45.231625,-89.6243125|45.469875,-88.93175|46.0735,-89.2221875|45.43875,-83.5498125|39.1601875,-94.8824375|46.5858125,-94.390875|46.54275,-91.9765625|46.493125,-92.95975|46.6023125,-95.1004375|46.4050625,-95.5165|47.1530625,
-85.1708125|39.0501875,-85.7770625|40.041875,-87.725875|39.725375,-88.0753125|39.52275,-87.7046875|39.348375,-88.2336875|39.5833125,-44.447875|3.4045,-42.5493125|3.1936875,-47.9899375|3.4791875,-11.0055|0.0,-44.268125|3.6294375,-47.523875|3.887,-90.0385|47.57425,-89.193875|47.4418125,-88.4015|46.87925,-90.1693125|47.7778125,-91.4533125|47.7009375,-89.11675|47.01875,-90.1334375|48.359125,-90.4649375|48.2096875,-90.982375|48.524125,-90.55175|47.7941875,-89.023875|47.291125,-87.7744375|47.9476875,-92.496875|44.1548125,-93.069375|44.198,-92.9994375|44.1430625,-92.2419375|44.3050625,-91.99025|44.387125,-93.8796875|43.8596875,-94.9103125|46.4835625,-94.77|46.6140625,-92.8929375|46.954125,-93.334375|47.0871875,-94.439|46.7360625,-95.973875|46.833875,
-83.1681875|38.98425,-82.0000625|38.989875,-84.7545|38.756125,-86.0471875|39.5285,-86.1221875|39.4565625,-86.592875|39.7575625,-37.7364375|3.1379375,-37.5673125|2.9994375,-41.3385|2.958625,-40.083875|2.9579375,-8.004|0.0,-38.74125|3.0531875,-86.501625|46.6373125,-86.853375|46.680375,-86.576|46.562,-85.8641875|46.79825,-88.754|46.6045625,-86.1786875|46.7754375,-88.038125|48.405125,-88.2231875|48.1380625,-87.6046875|47.7775625,-87.1369375|47.39675,-88.6641875|48.3788125,-86.469125|48.17575,-90.48675|43.367,-90.7170625|43.553625,-90.8443125|43.379125,-89.92525|43.6455,-90.832125|44.0364375,-93.148125|43.9301875,-84.0151875|44.96125,-83.9269375|44.849625,-81.9343125|44.6096875,-79.230375|41.498875,-84.38525|44.9235,-84.147|44.6473125,
-79.0888125|39.6036875,-78.5390625|40.15925,-80.6041875|39.810375,-80.5281875|40.0373125,-79.99125|39.763375,-81.320875|39.939625,-35.2825625|2.600875,-35.471125|3.04875,-39.1794375|2.72625,-37.452875|2.640875,-36.1664375|2.76675,-9.0045|0.0,-85.598875|49.745125,-85.1699375|49.5814375,-85.566375|49.7631875,-84.532125|49.0388125,-77.7225|42.241125,-85.8080625|49.9615,-86.2728125|50.632625,-86.623125|50.8451875,-85.5953125|49.89625,-86.4754375|50.9268125,-86.495625|50.486875,-84.397125|50.4859375,-91.241125|45.29725,-90.37425|45.213875,-89.6519375|44.24125,-90.105375|45.382625,-90.5869375|45.703,-92.49225|44.3315625,-92.8148125|47.1951875,-93.1210625|47.41575,-90.6160625|47.512,-91.7675|46.926875,-93.98|47.4699375,-92.6348125|47.0305625,
-84.8096875|39.55425,-82.789375|38.872875,-86.2911875|38.4676875,-87.35525|38.8156875,-87.3231875|39.7130625,-86.9306875|38.3893125,-88.4989375|44.549125,-87.5206875|43.5644375,-88.879|44.536625,-89.3441875|44.6345,-87.787125|44.6090625,-86.207|44.81675,-11.0055|0.0,-44.0695625|2.74525,-45.7576875|2.7434375,-46.27925|2.9083125,-45.757|3.0231875,-46.79575|2.885125,-89.7201875|47.0200625,-91.205|47.4069375,-91.6328125|47.3278125,-90.95625|47.619375,-87.8650625|47.6580625,-90.19325|47.246875,-89.098875|44.111375,-90.2591875|43.282,-90.31525|43.25475,-89.5390625|42.72525,-92.149|43.5339375,-89.4048125|42.8,-94.8766875|45.8435625,-93.5539375|45.57725,-92.079|45.9425,-91.0305625|46.62475,-95.1829375|46.3423125,-94.248375|45.7320625,
-82.493|41.127125,-81.8205|40.8139375,-82.6573125|40.5215625,-83.0811875|40.7996875,-83.8245625|41.1435625,-82.711375|40.8189375,-87.3126875|45.0609375,-87.5250625|45.4709375,-88.53475|45.7975625,-87.7186875|44.946875,-86.7963125|44.8178125,-84.519|45.3354375,-43.48425|2.6604375,-7.0035|0.0,-39.646375|3.197625,-38.1204375|2.8005,-41.629875|2.7443125,-42.657625|2.9673125,-87.060875|49.3688125,-87.286125|50.29025,-88.0944375|50.0469375,-86.830875|49.8786875,-84.765625|49.535625,-85.9099375|49.048,-88.7861875|44.6695625,-90.40375|44.466875,-89.0724375|44.224375,-89.4089375|44.3868125,-90.8179375|44.4575625,-89.9706875|44.7501875,-93.28325|46.7930625,-92.97725|46.835875,-90.498375|46.6031875,-90.08625|47.0096875,-93.5655625|46.91775,-94.174375|46.455625,
-84.1136875|38.7833125,-82.339375|38.7146875,-87.7204375|40.038125,-86.4570625|39.157125,-86.159875|38.9568125,-87.024125|39.466625,-87.46075|44.5825,-87.87475|44.93,-87.8576875|44.567125,-87.5511875|44.6730625,-86.3774375|44.328,-83.9729375|44.5385625,-39.427625|2.5743125,-39.0765|2.636875,-10.005|0.0,-38.5224375|3.009875,-39.46325|2.5613125,-39.0384375|2.706,-89.975|47.6128125,-90.5841875|47.6961875,-90.4745|47.846,-89.9788125|47.3341875,-86.2540625|47.3120625,-89.4335625|47.9375625,-87.593125|45.044125,-86.7656875|44.7418125,-87.02925|44.8669375,-88.389625|45.4935625,-88.5575625|45.2259375,-88.68075|45.2056875,-93.754625|46.613125,-93.5550625|46.057875,-90.47125|45.8759375,-91.050625|46.9448125,-93.989125|46.06925,-93.55525|46.1484375,
-83.197375|39.245875,-80.837875|38.425125,-85.558875|39.029125,-86.963|40.0595,-86.043|39.460625,-86.4164375|39.487375,-86.72775|44.529,-86.954125|44.439,-88.00525|44.586125,-87.5940625|44.770625,-86.4315|44.505625,-82.28525|44.146625,-38.5565|2.326,-35.295375|2.148,-36.727375|2.005625,-10.005|0.0,-37.3830625|2.34075,-36.073375|2.1225,-89.1863125|47.686,-88.95625|47.755625,-89.6198125|47.772375,-89.259|47.512,-86.193|48.1705,-88.4138125|47.39,-87.7491875|43.839,-90.231125|44.12625,-89.3429375|43.428625,-90.398|44.171,-90.089125|43.666625,-89.048625|44.0625,-90.8639375|47.97,-91.081|47.235625,-89.94525|48.179375,-90.4493125|48.314125,-90.54975|47.50425,-91.35275|47.714375,
-84.2489375|38.806875,-83.581625|39.1831875,-84.972875|38.752375,-84.50175|38.674375,-85.1009375|38.5829375,-84.1030625|38.7039375,-78.43275|43.1244375,-78.08925|42.79875,-79.5623125|43.357,-79.3284375|43.2623125,-77.7676875|42.8868125,-64.8458125|33.1690625,-28.6990625|2.8641875,-25.040375|2.2745,-27.7506875|2.7505,-28.13325|2.9815,-11.0055|0.0,-26.425625|2.39325,-89.17575|47.253,-89.1611875|47.5655625,-88.325625|47.4973125,-89.8465625|47.1603125,-87.733625|48.085375,-89.2379375|47.5665625,-89.1739375|44.447,-90.931|43.8075,-90.933875|43.8831875,-90.2094375|43.5948125,-91.4034375|44.0209375,-90.68725|43.9485,-93.09875|46.777,-92.7345625|46.4305625,-92.7376875|46.6368125,-91.507125|46.5908125,-93.9250625|47.0246875,-93.789|46.388875,
-86.669625|40.1444375,-84.9764375|39.3616875,-87.5945625|39.4405625,-88.0308125|39.5426875,-86.88025|39.114,-86.4548125|38.902,-89.6905|44.628125,-89.3375|45.0878125,-89.4655|44.8330625,-89.6008125|44.9736875,-88.275125|44.525875,-85.456375|44.0748125,-45.2471875|2.362375,-43.1595625|1.999,-45.16725|2.0315,-46.9205625|1.924,-26.9350625|2.184,-9.0045|0.0,-92.14675|47.943,-91.1265|47.8504375,-90.7050625|47.7791875,-91.2738125|46.9986875,-88.06575|47.28,-89.755875|47.07475,-90.4489375|43.9515625,-91.24575|43.3706875,-90.565875|43.783875,-91.417125|44.2270625,-92.1545|44.010625,-91.8279375|43.9960625,-95.4491875|46.693125,-94.8426875|46.0299375,-91.531375|45.7096875,-90.64925|45.7145,-95.9178125|46.4166875,-95.0698125|45.93575,
-86.0549375|39.3055625,-86.36|39.6990625,-86.849|39.378125,-86.771375|39.8161875,-85.3918125|38.7533125,-87.3694375|39.8773125,-89.835125|44.72025,-89.7779375|44.9004375,-90.91425|45.1644375,-90.5745625|44.4978125,-90.682|45.7601875,-91.0695625|44.7386875,-91.997625|47.9476875,-91.85975|47.44825,-91.049125|47.205625,-90.9946875|46.997875,-90.05225|46.8610625,-91.0446875|47.159,-10.005|0.0,-24.4303125|2.2898125,-27.47525|2.5361875,-26.388125|2.354625,-37.9596875|3.6591875,-28.63075|3.05825,-93.5616875|44.144375,-93.29|43.898375,-95.411625|44.5085,-94.269625|44.4518125,-91.2934375|44.5959375,-93.2741875|43.750375,-93.8356875|46.72375,-94.7366875|46.2535,-94.079125|46.4654375,-93.7545|46.2509375,-94.039875|46.4645625,-94.1153125|46.260875,
-85.702625|38.987875,-86.382625|39.2624375,-85.894125|38.9848125,-86.16|39.2525625,-86.8500625|38.9095,-87.09275|39.724375,-89.6985625|44.3033125,-91.0603125|44.6795,-89.571875|44.206375,-90.6986875|44.948375,-89.2388125|44.2884375,-91.1813125|44.456625,-93.44925|47.441,-91.787375|46.5536875,-91.0983125|46.6931875,-91.2256875|47.0170625,-91.88|47.0570625,-92.6499375|47.14375,-25.031|2.2681875,-8.004|0.0,-47.39425|2.8836875,-44.6338125|2.7705625,-50.7198125|3.233375,-46.66825|2.819625,-94.141|43.3939375,-94.1685625|44.421125,-94.498375|43.6991875,-93.3689375|43.2660625,-90.0210625|43.5128125,-94.13525|44.3388125,-95.4129375|46.121375,-95.7354375|45.9219375,-96.757|46.207125,-94.872375|45.7824375,-93.8985625|46.4504375,-95.546|46.1335625,
-84.63675|38.934375,-85.636375|39.51825,-85.900125|39.2360625,-86.0053125|39.62625,-85.9614375|39.4531875,-85.31|38.63425,-89.14575|44.6190625,-89.7380625|44.7951875,-89.059375|44.798125,-88.8740625|44.3181875,-88.5545|44.1544375,-90.4950625|44.5275,-92.18225|47.0135625,-91.1066875|46.697375,-90.4865625|47.0378125,-89.860625|46.63125,-91.425375|47.2895625,-91.308125|46.84675,-45.6565|2.42875,-44.749625|2.142625,-10.005|0.0,-40.68725|2.1665,-49.7276875|2.5383125,-43.7875625|2.35725,-93.89375|43.5598125,-93.6625|44.182875,-92.4985625|43.7970625,-92.245125|43.5433125,-88.6938125|43.5561875,-92.5540625|44.3340625,-91.5379375|47.5514375,-91.410875|47.4190625,-91.3505625|47.4805,-91.2314375|47.284375,-87.1585|44.525625,-92.0935|48.0668125,
-84.49625|38.734625,-85.3940625|38.7685625,-84.87375|38.391375,-86.0309375|39.31825,-85.541625|38.9270625,-85.1306875|38.968125,-89.4869375|44.7394375,-87.837|43.44375,-88.4754375|44.0474375,-88.24475|44.01525,-88.012625|44.1459375,-91.1950625|44.6379375,-90.8646875|46.2951875,-91.254625|46.4779375,-90.023625|45.83475,-90.1489375|45.87925,-90.9224375|46.20225,-91.5693125|46.0271875,-41.302375|2.1170625,-42.1044375|2.254875,-43.004625|2.3209375,-7.0035|0.0,-47.6474375|2.384,-41.5955625|2.292125,-92.5635625|43.3796875,-93.91725|43.5454375,-93.46575|43.1163125,-93.567875|43.2366875,-88.3489375|43.277375,-91.922875|43.8416875,-95.2195625|45.7731875,-95.0031875|45.1215625,-95.196625|45.945875,-96.3265625|46.46525,-93.517125|46.06,-94.7754375|45.4501875,
-81.6550625|40.6576875,-81.4359375|40.5289375,-81.4559375|40.6389375,-81.8340625|40.7605,-81.9095625|40.523625,-81.892|41.231625,-86.548|44.936375,-86.6753125|45.456375,-88.07075|45.6706875,-88.0136875|45.5599375,-87.248125|45.6225,-89.7670625|45.4745625,-86.6194375|48.83875,-80.4995625|43.302875,-86.9314375|49.4875,-86.1653125|48.3421875,-87.0599375|48.7784375,-87.5248125|49.092625,-36.6720625|2.070625,-36.3978125|2.1020625,-38.2653125|2.2391875,-35.5849375|2.19225,-13.0065|0.0,-38.3596875|2.288,-89.67675|45.890875,-90.1558125|45.9909375,-89.2144375|45.985375,-90.1039375|46.2081875,-74.6713125|36.1094375,-88.4853125|45.5251875,-92.6864375|46.6801875,-93.7413125|46.854375,-93.86075|46.758375,-92.9026875|46.368125,-91.1995|46.3901875,-93.6446875|47.3895,
-83.7165625|38.9975625,-84.3154375|38.981125,-84.6230625|39.357875,-83.44775|38.379375,-83.94825|38.4669375,-84.2563125|38.9739375,-85.4671875|45.880875,-87.2175|46.5778125,-86.806375|46.137125,-85.9045625|45.579,-86.808875|46.9056875,-81.2151875|41.3739375,-90.64325|46.7135,-89.19625|46.15425,-88.982625|46.5495625,-89.48675|47.0674375,-89.8890625|46.5035625,-89.994625|46.4938125,-37.0408125|3.240625,-38.16875|3.1531875,-39.0701875|3.3695625,-36.198875|3.3401875,-44.4661875|3.516625,-10.005|0.0,-91.928125|44.008,-92.8823125|43.6981875,-92.5908125|43.82675,-92.2479375|43.9954375,-88.3148125|43.77925,-90.257625|43.304,-93.9948125|46.0534375,-93.2996875|46.1261875,-93.7893125|45.9829375,-92.9789375|45.2935,-92.07825|45.9138125,-94.34|46.934375,
-83.6005625|41.5484375,-83.2829375|41.59275,-81.729875|41.6905,-84.518125|42.5474375,-83.7850625|41.4923125,-83.74725|41.4485,-88.440375|45.8773125,-88.64625|46.117,-86.752125|46.1475,-88.6340625|46.490125,-87.6993125|45.95775,-88.0498125|45.6110625,-87.0018125|49.75775,-87.267875|50.20975,-81.9221875|44.7154375,-86.625125|49.904,-88.2759375|50.1266875,-87.5459375|50.09525,-90.5083125|49.4644375,-89.8|49.24275,-90.8028125|49.5138125,-90.5469375|49.417625,-87.405125|49.30525,-89.4929375|48.8995,-11.0055|0.0,-27.780125|2.6830625,-26.207|2.0664375,-33.150375|2.758,-35.1295|3.185875,-27.2416875|2.404125,-92.3675625|47.12275,-93.3736875|47.82175,-92.135125|47.726,-93.543625|48.222625,-93.24525|48.0315,-93.075|47.6604375,
-86.9713125|40.326875,-86.4154375|39.704125,-85.0459375|39.3459375,-88.2343125|39.76125,-86.9521875|40.0049375,-87.6425|40.0920625,-90.98925|45.2309375,-90.330125|44.5681875,-87.966375|45.370875,-90.8734375|45.0229375,-90.0485625|44.737875,-90.7750625|44.7168125,-92.0773125|48.3081875,-90.260875|47.7394375,-91.9135625|48.065125,-90.1713125|47.858125,-90.22825|47.6745625,-92.034625|47.642875,-91.7195|48.094625,-91.05075|47.6174375,-91.16625|48.523875,-92.7175625|48.5946875,-88.4425|48.7416875,-90.7958125|48.064375,-38.24575|3.259375,-12.006|0.0,-52.069375|2.9126875,-52.856375|3.0086875,-54.660875|3.2766875,-52.581|2.8030625,-95.555125|46.15875,-95.171375|46.4018125,-93.2460625|47.3123125,-93.6376875|46.7171875,-95.4678125|46.5963125,-95.7055|46.8109375,
-87.5673125|39.352125,-88.5959375|40.501,-85.56975|40.0399375,-88.8588125|39.6251875,-88.4651875|39.651625,-89.33525|40.0555,-90.815625|44.8330625,-91.8736875|45.539875,-88.0049375|45.565625,-90.8824375|44.9575625,-91.06175|45.548875,-89.67225|44.819,-91.9286875|47.49275,-91.06275|47.6985,-90.96525|47.682625,-90.93025|47.71575,-91.0575625|47.6925625,-91.8375|47.7663125,-90.4275625|47.9678125,-92.2441875|48.631875,-91.5280625|48.286625,-91.2996875|47.9905625,-88.52725|47.7695625,-91.244875|48.54075,-57.0140625|3.9080625,-55.3796875|4.1003125,-10.005|0.0,-52.8835|3.6790625,-55.8405625|3.912125,-50.46275|4.087375,-95.4956875|46.7066875,-95.314375|46.535125,-92.3868125|46.124125,-93.7744375|46.318375,-95.5601875|46.1413125,-95.1609375|46.7738125,
