-11.0055|0.0,-17.311125|2.5299375,-17.5883125|2.1085625,-15.8660625|2.5305,-44.8231875|22.3638125,-44.7323125|22.3604375,-44.9516875|22.60125,-43.727125|22.371625,-46.4588125|26.3171875,-46.6425|26.3613125,-46.791625|26.5483125,-34.128|17.37475,-47.7253125|28.4339375,-47.2925|28.0210625,-46.9989375|28.25925,-47.363125|28.260375,
-18.4091875|2.8273125,-8.004|0.0,-26.283625|2.6711875,-25.615375|3.043,-42.645375|22.2665,-42.8031875|22.332625,-42.764875|22.4076875,-30.683375|14.89175,-47.16475|25.6716875,-46.9579375|25.7660625,-47.19525|25.72875,-46.29|25.909875,-43.5704375|27.09475,-43.3051875|26.8125625,-31.777375|18.6301875,-43.2561875|27.1846875,
-27.4964375|3.0108125,-27.8309375|3.11475,-10.005|0.0,-29.87775|3.35625,-45.862125|22.120375,-45.6014375|21.975125,-45.7416875|21.9430625,-44.1103125|22.20975,-49.5993125|26.2251875,-49.10325|26.3721875,-49.1563125|25.945375,-47.6913125|26.328375,-48.35825|27.7795625,-48.340875|27.8215,-46.5589375|27.8129375,-47.86275|27.94825,
-29.9689375|3.292625,-30.254375|3.298375,-30.6939375|3.338875,-8.004|0.0,-46.5438125|22.1679375,-45.91975|21.841875,-46.1470625|22.0931875,-44.6708125|22.1931875,-49.3171875|25.85875,-49.5515|25.8845,-49.5695625|26.1105625,-47.8654375|25.978875,-48.859|27.6621875,-48.850375|27.598,-46.793|27.75475,-48.6580625|27.6885625,
-46.35275|23.4743125,-45.967625|23.41175,-46.4959375|23.4796875,-46.6546875|23.479,-9.0045|0.0,-15.9096875|2.462125,-17.31125|2.8045,-19.021125|3.295125,-45.570125|26.0773125,-35.2653125|19.1230625,-45.9928125|26.2315,-46.90425|26.5773125,-46.320375|28.5788125,-45.666375|28.0781875,-45.66525|28.2961875,-33.147|19.5719375,
-47.3138125|23.34875,-46.72575|23.2095625,-47.3344375|22.8425,-47.3748125|22.86225,-16.8385625|2.2735625,-8.004|0.0,-25.1006875|2.6365,-24.764375|2.8919375,-48.8258125|26.564875,-47.71875|26.2614375,-48.72475|26.4815625,-48.90775|26.6185,-47.9665625|28.118625,-48.019375|28.068875,-47.5233125|27.9448125,-46.6029375|27.9928125,
-47.360625|22.686625,-46.74|22.7698125,-48.1306875|22.957125,-48.09575|22.982625,-27.9291875|3.055,-27.2928125|3.05275,-10.005|0.0,-29.252625|3.3163125,-48.956875|26.2644375,-48.3365|26.2723125,-49.7961875|26.3983125,-50.2876875|26.45575,-48.3075625|27.829125,-48.627125|27.743375,-48.443625|27.773875,-46.7701875|27.696375,
-43.143|21.932,-42.257625|22.0488125,-43.464625|22.0713125,-43.166125|22.029375,-28.5095|3.197375,-27.20275|3.2063125,-28.6329375|3.226125,-8.004|0.0,-48.7795625|26.1410625,-47.4116875|26.0205625,-48.9896875|25.9975,-49.859625|26.3551875,-48.429125|27.900125,-48.27875|27.674125,-48.500625|28.170875,-46.88725|27.986875,
-45.201875|21.84975,-45.3720625|22.0545,-45.6280625|21.9913125,-45.346875|21.5741875,-44.601875|22.0828125,-44.80875|21.778,-44.892375|22.0065,-44.9350625|22.06625,-11.0055|0.0,-23.27875|4.07825,-17.468625|2.2206875,-21.1615625|2.833875,-45.4398125|27.6105,-45.3268125|27.6075,-34.0736875|19.4078125,-45.276625|27.8183125,
-45.923375|22.4744375,-46.6156875|22.464,-46.2876875|22.3290625,-46.524375|22.5265,-40.3360625|20.897625,-40.4725625|20.66525,-40.876375|20.796875,-41.028625|20.8228125,-19.29975|3.3351875,-11.0055|0.0,-25.47775|2.525375,-28.6928125|2.997375,-47.4335625|27.896125,-47.6256875|27.9093125,-46.8411875|27.7326875,-47.6700625|27.9385625,
