-11.0055|0.0,-32.658|1.4329375,-33.4265625|1.570125,-31.633875|1.545375,-32.12575|1.1750625,-29.3716875|1.2214375,-33.704625|1.1125625,-114.5129375|57.6683125,-113.0190625|57.825375,-117.43075|57.5976875,-114.277|56.738375,-116.948|57.888875,-116.7644375|57.214375,-117.3255|57.37575,-113.0828125|62.5859375,-106.4895|55.446375,-115.352125|63.2589375,-115.522375|62.9508125,-113.9503125|62.86725,-114.74375|63.489,-113.5900625|62.7008125,-121.3724375|60.5685625,-121.454625|59.5284375,-119.467375|59.9694375,-120.25925|59.463125,-121.6470625|59.78675,-115.596875|59.259625,-118.9266875|59.541375,-122.176625|57.21475,-122.6385625|58.24175,-119.892625|57.211,-123.00275|58.46,-121.17225|57.681,-120.602375|56.886375,-122.1070625|58.0349375,-119.7656875|60.438125,-116.75925|60.606875,-121.3370625|61.668125,-120.893625|60.4351875,-122.1738125|60.832875,-120.408375|60.206375,-122.386875|61.1514375,-123.8898125|60.2681875,-121.4899375|59.8003125,-122.5808125|60.1591875,-122.301625|60.261875,-121.878875|60.7204375,-121.6428125|59.4195625,-123.11925|60.60275,
-31.8720625|1.5099375,-8.004|0.0,-56.0634375|1.5413125,-57.006625|1.4645625,-52.498875|1.3155625,-56.2959375|1.4143125,-51.960625|1.3040625,-106.057375|57.3215,-94.5895|47.8138125,-107.65475|56.8266875,-106.7390625|56.786375,-109.4309375|57.921625,-108.4186875|57.882,-108.0786875|57.5859375,-117.5596875|61.44225,-116.991375|60.65825,-116.5569375|60.6100625,-115.6499375|60.891625,-116.0546875|61.012375,-114.96875|60.474375,-116.4109375|61.794125,-119.6469375|59.837625,-119.5875|59.7130625,-118.4006875|60.101875,-120.2565|60.0008125,-118.7996875|60.157375,-114.456875|59.678,-115.63225|59.28775,-111.377375|53.46625,-117.5285625|60.2288125,-118.21325|60.1858125,-118.336625|60.1101875,-116.6208125|58.984375,-118.838875|59.69575,-117.482875|59.027375,-116.368375|59.321,-113.3544375|59.528625,-119.1454375|60.2759375,-119.579125|60.286625,-119.8598125|60.2715,-118.4774375|59.5758125,-119.988125|60.2075,-122.273375|59.992125,-121.894125|60.115375,-121.015875|60.9680625,-122.863|60.7133125,-121.4435|60.421,-121.042625|60.9344375,-121.8083125|59.846,
-59.32825|1.3341875,-57.3755|1.5190625,-10.005|0.0,-55.1058125|1.454875,-53.5661875|1.3794375,-52.555375|1.3675625,-54.2438125|1.52125,-112.3935625|57.6465625,-110.923875|57.7825,-116.2354375|58.000375,-117.3831875|58.0926875,-117.64975|58.4356875,-115.8028125|57.968,-116.0181875|57.073375,-116.35175|61.2464375,-119.4515625|60.5645,-115.4233125|60.8886875,-117.0875|61.7864375,-116.6548125|61.926,-116.3004375|61.8634375,-116.887375|62.4496875,-118.20425|59.5110625,-119.349|59.8255,-118.413375|60.0278125,-118.8375|59.312875,-119.150875|59.918125,-114.736875|59.794125,-118.602375|60.696625,-122.6515|58.4214375,-121.929625|58.2578125,-119.6273125|57.972875,-122.008125|57.8471875,-121.873125|58.65025,-123.972875|59.3105,-122.230875|57.5001875,-115.1969375|62.3795625,-100.333125|51.7686875,-116.949875|63.2000625,-117.4736875|63.3128125,-117.6286875|62.7246875,-116.551375|62.3033125,-116.07275|62.199625,-118.7648125|63.1679375,-118.28475|62.2396875,-117.2851875|61.5585,-109.937875|54.588875,-116.766|61.55275,-118.64425|62.7488125,-118.101875|61.942875,
-59.4229375|1.5674375,-57.88875|1.50025,-56.975125|1.363125,-8.004|0.0,-47.8813125|1.6651875,-47.849625|1.7369375,-49.221375|1.4208125,-113.173125|57.483625,-110.998375|57.4700625,-115.793125|56.4240625,-116.1845625|57.138375,-117.464125|57.5130625,-115.83675|56.3279375,-117.11125|57.075625,-115.853375|60.4036875,-118.958875|59.9805625,-117.50625|61.7376875,-114.8954375|61.089125,-116.2125|60.7795,-116.19925|60.6140625,-116.2788125|61.27525,-113.3805|59.6964375,-112.0288125|58.8991875,-111.2925625|59.428875,-112.21775|59.106875,-112.662875|59.693375,-95.0080625|47.1409375,-110.3685|59.2636875,-122.8554375|58.1859375,-119.97775|56.7686875,-120.4420625|56.9485625,-121.095125|57.692,-122.114|57.1166875,-121.3690625|57.25825,-121.4675|57.5421875,-117.259625|60.4755625,-114.3641875|60.1291875,-119.5631875|59.7240625,-120.2365|59.894375,-120.825625|59.8344375,-119.0985|59.24225,-121.4891875|60.065375,-119.6704375|58.3493125,-120.529375|58.8109375,-119.497|58.500375,-121.360875|57.9545625,-118.3026875|57.475125,-119.92675|58.4874375,-120.38075|57.7834375,
-53.1903125|1.24775,-53.64325|1.41125,-55.64275|1.4111875,-50.8228125|1.4301875,-9.0045|0.0,-40.611|1.3326875,-42.4731875|1.5483125,-112.9063125|56.187875,-111.0476875|56.834,-117.1399375|56.5818125,-116.4586875|56.7615,-116.963|56.5645,-116.0900625|56.7248125,-117.217|56.74875,-115.9659375|59.8860625,-120.361125|59.4114375,-114.999125|60.22075,-115.44175|59.964875,-116.2964375|60.55125,-114.295|60.271625,-115.338375|60.0270625,-118.5376875|57.89575,-118.7031875|57.8735625,-117.1109375|58.36425,-118.506|58.11875,-119.647875|58.766625,-114.221875|58.6239375,-117.9580625|59.701875,-122.883|56.1745625,-120.7663125|57.1018125,-119.615375|55.54175,-119.37475|55.822375,-122.5973125|56.44,-122.1990625|57.50425,-122.0715|56.7024375,-118.215875|59.2398125,-112.62375|58.797375,-118.9075625|59.5575625,-120.22325|58.4455625,-119.2470625|58.886,-120.10775|59.2691875,-120.857|58.615875,-122.2330625|59.304,-121.45725|58.85475,-119.719375|58.039625,-122.1129375|58.6925,-121.85425|59.8710625,-121.7315|59.313875,-119.3538125|58.288125,
-44.7420625|1.5890625,-45.2758125|1.2525625,-45.1291875|1.4311875,-42.1155|1.3998125,-40.32325|1.567,-8.004|0.0,-35.488875|1.50075,-112.52225|56.888625,-110.816625|56.3630625,-115.822875|56.5959375,-116.0518125|56.4033125,-116.156375|55.815375,-116.473|57.3663125,-117.3398125|56.435875,-114.3791875|59.6613125,-118.8113125|60.463,-114.3105625|59.74275,-113.534125|59.286,-115.3133125|60.0510625,-115.2488125|59.972375,-114.216125|60.047625,-119.877125|59.4710625,-116.8968125|57.338875,-116.500375|58.341875,-118.166875|58.9935,-118.1550625|58.4438125,-112.68175|58.5279375,-116.3203125|58.1361875,-120.946625|56.4135,-119.843|56.7714375,-119.4964375|56.20525,-118.73975|55.4665,-120.716875|56.196375,-120.113375|55.7175625,-120.7726875|56.0293125,-116.974375|59.1236875,-112.2871875|59.11375,-119.393875|59.2718125,-118.5126875|59.038,-121.1620625|59.9811875,-120.6609375|60.0788125,-120.1711875|58.8445625,-121.6275625|58.966625,-119.48425|58.355375,-120.169875|58.06925,-120.0530625|58.2264375,-119.4895625|58.9245625,-119.3015625|58.5408125,-119.58925|58.2724375,
-40.9649375|1.4886875,-41.3990625|1.3128125,-43.3118125|1.6094375,-39.9100625|1.404625,-36.4613125|1.315125,-37.0849375|1.6078125,-10.005|0.0,-111.4895625|56.3555,-108.900875|55.8909375,-114.231125|56.507375,-115.033375|56.4945625,-115.301875|56.2300625,-115.3993125|57.298625,-115.6461875|55.992375,-114.9894375|60.534375,-117.0638125|60.30325,-113.240875|59.8055625,-113.7829375|59.784,-115.2283125|60.0455625,-114.2106875|59.3279375,-115.21525|60.3049375,-117.7228125|58.14525,-117.3636875|58.20475,-116.961875|58.7925625,-118.638625|59.098375,-117.0301875|58.403625,-113.2824375|58.8079375,-115.3075625|58.6044375,-121.211875|56.6154375,-119.82275|56.6165625,-117.643875|56.6700625,-118.62|55.884875,-120.13475|56.5771875,-120.1628125|55.971625,-119.22775|55.4688125,-117.0295625|59.2005625,-112.51325|59.7110625,-117.4759375|58.429125,-118.9135|58.820875,-120.51775|60.083125,-118.7641875|58.9361875,-119.3608125|59.1395625,-120.10925|58.8313125,-121.06225|59.6333125,-121.0776875|58.928125,-121.9763125|59.185125,-117.538625|57.5794375,-120.860875|60.0023125,-120.389875|58.9415,
-113.4135625|51.6575,-113.145125|51.7683125,-116.662875|51.5396875,-117.1831875|51.7995,-117.955375|52.34575,-116.269125|51.6065625,-116.60175|52.2028125,-8.004|0.0,-56.0454375|3.137125,-31.207375|2.5346875,-47.4111875|2.8325,-29.4286875|1.90475,-32.74775|2.219,-29.4815625|2.165625,-118.9680625|60.4145625,-117.750875|59.529625,-120.6110625|60.47175,-118.2415|60.40525,-117.05875|60.053375,-119.67475|61.10975,-116.670625|59.637125,-121.263875|59.14725,-119.5885625|59.3864375,-118.4534375|58.1366875,-120.674|59.720625,-117.7485|58.2221875,-120.194625|59.831875,-120.2758125|59.053125,-121.5945625|56.6119375,-121.618875|56.2365625,-120.3900625|56.3455625,-122.3924375|56.9685,-120.44475|56.9149375,-123.1381875|56.4785625,-121.2935|57.134875,-122.6814375|59.261625,-121.480375|59.494625,-122.430125|59.5493125,-117.651125|59.2669375,-123.5498125|60.1649375,-122.410625|59.9778125,-122.1405625|59.3538125,-123.7966875|59.838,-123.7206875|59.228,-122.9261875|58.839375,-121.17475|57.9240625,-121.670875|59.102875,-121.9090625|58.812875,-123.0723125|58.2133125,
-104.3318125|52.848,-103.6265|52.6796875,-107.6090625|53.825,-108.2996875|53.4766875,-107.6269375|53.3621875,-107.590875|52.6496875,-109.0258125|54.3515,-26.9584375|1.288625,-11.0055|0.0,-47.2479375|1.6299375,-55.9123125|1.45675,-50.483|1.2239375,-47.969875|1.4296875,-48.6173125|1.26375,-109.4111875|61.713875,-109.33775|61.2409375,-104.913125|57.965625,-109.513|61.17325,-108.7496875|60.9923125,-108.1610625|61.214875,-107.8286875|60.992375,-117.2225625|59.71425,-116.6925625|60.1043125,-116.1454375|59.4745625,-116.538625|60.2473125,-116.0083125|59.8506875,-115.81575|59.811875,-115.8915625|59.5829375,-120.975375|58.01525,-121.783375|57.843625,-120.0548125|57.8990625,-120.8805625|57.2625,-116.7889375|58.079625,-120.5688125|57.436625,-119.758|57.5653125,-117.5739375|63.2888125,-116.754375|62.4069375,-118.061625|62.665125,-114.0683125|62.178625,-116.9286875|62.8705,-117.7551875|63.4509375,-115.8771875|62.4570625,-122.863125|60.828625,-122.648125|60.480125,-119.415375|58.6429375,-121.298625|60.466375,-121.2730625|60.8149375,-121.9470625|60.2913125,-121.510875|60.6025625,
-113.4705|52.9584375,-112.3985625|51.9065,-119.0554375|52.593125,-117.012125|51.0624375,-116.7503125|51.2850625,-117.0673125|52.3281875,-117.11625|51.6125625,-64.3040625|3.387,-67.3825|3.5515,-11.0055|0.0,-59.271625|3.7643125,-49.5596875|3.56375,-53.5671875|3.45,-51.1290625|3.25125,-117.3781875|60.220625,-118.6769375|61.157,-120.177625|59.789625,-118.554875|60.3146875,-117.8013125|60.0009375,-116.222125|58.8353125,-117.535875|60.452125,-119.897|58.77525,-120.718125|59.2484375,-120.6795|59.7316875,-117.887875|58.4363125,-118.571|58.8235,-118.1195|58.7436875,-115.8478125|57.1901875,-123.4205625|56.558,-121.7609375|56.0621875,-122.7509375|56.725125,-121.026|55.499875,-119.31125|56.988,-123.14275|56.647375,-121.7633125|56.376125,-123.3678125|59.5305,-121.6375625|59.5924375,-121.9905|59.731125,-118.214875|60.135375,-122.5088125|59.4185625,-123.2443125|59.61525,-123.4200625|59.91225,-123.8740625|59.111875,-123.93925|59.64175,-122.61125|59.297375,-121.9768125|59.0593125,-121.52175|58.3900625,-123.0331875|58.4985625,-123.2966875|58.645125,
