-12.006|0.0,-24.362|2.592125,-20.6281875|1.2050625,-23.5603125|1.825625,-20.8744375|1.5359375,-63.014625|34.208,-62.8095625|33.805625,-61.71275|33.5846875,-63.1839375|34.2674375,-62.761125|33.947,-58.064125|30.8055,-57.4209375|30.734875,-46.5614375|23.609625,-57.868875|31.1433125,-58.223125|31.0764375,-60.3984375|35.41475,-48.291875|26.858625,-59.86475|35.0995,-60.004|35.7976875,-60.1143125|35.123875,-58.662125|30.6693125,-47.9658125|23.3041875,-59.97225|31.08575,-60.0435|31.442875,-60.046625|31.0224375,
-31.520875|3.0718125,-12.006|0.0,-43.1794375|2.8718125,-43.95525|2.97075,-40.5954375|2.9441875,-60.057875|33.9838125,-59.3196875|33.3329375,-45.911375|24.29875,-60.1238125|33.8420625,-59.9415|33.8770625,-63.5033125|31.5530625,-63.7756875|31.4873125,-61.8535625|31.26925,-62.9825625|31.0805,-63.8526875|31.5233125,-66.08625|35.889,-64.2799375|36.23875,-65.7541875|36.2724375,-65.6629375|35.924375,-65.9068125|35.982125,-64.953125|31.7395625,-63.7051875|31.723375,-66.5515|31.9069375,-65.89675|32.1028125,-66.029875|32.032875,
-46.7551875|3.47875,-44.559375|3.7130625,-9.0045|0.0,-42.0159375|3.4976875,-40.0310625|2.88925,-66.0253125|34.104875,-66.5956875|34.0464375,-64.3721875|34.5239375,-66.2318125|33.782875,-66.578875|34.1336875,-65.146125|31.2400625,-67.0230625|32.209875,-63.7515625|32.071125,-65.6488125|32.07525,-66.294|32.170375,-66.4145|35.463625,-64.771875|35.7448125,-66.5023125|35.7361875,-66.748875|35.72425,-66.5876875|35.436875,-66.1505625|31.613875,-64.827375|31.75575,-68.4799375|32.1035,-67.7638125|31.50625,-68.0821875|31.6515625,
-45.844875|3.0959375,-43.4075|3.0503125,-41.569375|3.018375,-12.006|0.0,-39.5176875|3.19125,-66.8101875|34.03675,-66.5196875|33.861125,-63.8139375|33.9401875,-66.0470625|33.827125,-66.1985625|33.851625,-65.4809375|31.2383125,-65.3106875|31.190375,-62.8918125|31.6533125,-65.412625|31.30625,-65.9238125|31.4145,-65.9865|34.830125,-64.0851875|35.4951875,-66.6425|35.839375,-67.019875|35.442,-66.855375|35.5735625,-66.579875|31.6011875,-64.2150625|31.488625,-66.9074375|31.135625,-67.5348125|31.645625,-67.860875|31.9810625,
-44.239875|4.1535,-43.171375|4.302,-38.302|4.05725,-41.059|4.013875,-9.0045|0.0,-66.7313125|33.702125,-66.630125|33.86575,-63.6414375|33.74425,-66.31825|33.79075,-66.590875|34.08725,-66.4720625|31.8575,-65.9335625|31.683375,-62.8659375|31.7265,-65.612375|31.7235,-64.904|31.45925,-66.387125|35.484,-64.2809375|35.60675,-66.2456875|35.637125,-65.96575|35.429125,-66.8811875|35.273125,-66.589125|31.558,-64.085375|31.775625,-67.992375|31.912,-67.8820625|31.76325,-67.446125|31.47075,
-72.0705|33.6413125,-71.826625|34.1053125,-71.6418125|33.7980625,-72.0415625|33.511625,-72.7003125|33.9676875,-9.0045|0.0,-23.027625|3.360125,-26.2065|3.7859375,-21.8440625|3.4156875,-27.961|4.4395,-64.551125|32.1793125,-65.195875|32.357875,-65.0926875|32.32325,-64.44175|32.2104375,-63.6415|32.0841875,-66.6185625|36.435875,-66.973875|36.235,-67.0238125|36.417125,-67.2335625|36.1879375,-66.3329375|36.016625,-66.737625|32.4120625,-65.4854375|32.3959375,-66.30225|31.8778125,-67.308|32.2684375,-66.436|32.0261875,
-71.7149375|33.3165,-71.084375|33.412375,-73.9393125|33.633875,-73.758|33.470875,-73.7893125|33.6345,-23.0025|2.9904375,-10.005|0.0,-36.83275|3.837375,-35.6904375|3.91225,-36.9721875|4.405625,-65.32025|31.789875,-64.9435|31.8065625,-64.94|31.711,-65.6790625|31.7785625,-62.88|31.7225,-68.020125|35.8836875,-66.7045625|35.8925,-66.2868125|35.7759375,-68.489375|35.8835625,-67.50275|35.9229375,-66.4351875|31.7096875,-65.0296875|31.823375,-67.02425|31.939875,-67.625625|31.8233125,-67.187625|31.565625,
-69.55425|34.51025,-68.0505625|33.94175,-70.269125|34.1893125,-70.446|34.145625,-70.1384375|34.20075,-28.454375|2.6081875,-29.1159375|2.9086875,-7.0035|0.0,-31.775125|3.3614375,-34.6700625|3.6110625,-61.4450625|32.35025,-61.548625|32.489375,-61.3039375|32.221,-61.487875|32.377375,-47.7030625|23.30275,-66.9464375|35.9500625,-65.404625|35.8015625,-65.050625|35.841125,-66.38125|35.375875,-66.805375|35.923375,-65.3494375|31.7855625,-63.6183125|31.3896875,-66.3296875|31.744,-66.1305|31.8188125,-66.495|31.8453125,
-71.8784375|33.114,-70.616625|33.14925,-73.1228125|33.129625,-73.5568125|32.7425,-73.0773125|32.707125,-32.796875|2.9338125,-33.413625|2.9655,-35.687875|3.1625625,-10.005|0.0,-35.9753125|3.71625,-64.3371875|31.06325,-65.362125|31.5574375,-64.348|30.9883125,-65.0415|31.5848125,-62.2625|31.2784375,-67.6313125|35.33925,-66.03275|35.0181875,-65.5698125|34.984875,-67.898625|35.4798125,-66.9840625|35.265,-66.0644375|31.3299375,-64.77525|31.5793125,-67.663875|31.7083125,-67.3441875|31.4360625,-67.399625|31.1773125,
-71.000125|33.508875,-69.4805|33.247375,-72.885375|33.395125,-72.9165|33.18325,-72.923|33.439125,-33.265125|2.762375,-31.9681875|2.641,-32.9950625|2.5335,-32.996625|2.729375,-10.005|0.0,-63.5805625|31.464375,-64.278|32.27,-63.8421875|31.571875,-64.5275|31.879375,-61.2455|31.563,-64.2858125|36.64875,-63.6835625|36.69125,-59.8928125|34.3785,-64.3784375|36.517,-63.687|36.461625,-63.817125|32.8125,-63.1343125|32.685875,-64.15375|32.416125,-64.307125|32.56825,-64.617875|32.848,
