-10.005|0.0,-22.5091875|2.7414375,-19.71525|1.778875,-25.7456875|3.314625,-21.9425625|2.4038125,-57.625625|29.56075,-57.8585625|29.4436875,-57.7435625|29.261125,-45.69|21.170875,-57.560125|29.4236875,-62.785875|28.3621875,-63.3845|28.902,-62.2955625|28.694875,-60.59825|28.4313125,-62.7445625|28.9335625,-68.1581875|31.354,-67.615625|31.8865,-67.434625|31.590375,-68.2334375|31.4623125,-68.091625|31.9006875,-67.638|33.4518125,-68.4626875|33.764375,-68.1704375|33.82775,-67.209125|33.893125,-67.863625|33.6220625,
-20.6091875|1.8593125,-11.0055|0.0,-31.6545625|1.51425,-35.7315|2.267,-33.3876875|1.675,-63.23175|30.526875,-63.1915625|30.568375,-63.2215|30.358625,-61.58975|30.2201875,-62.9275|30.0716875,-60.919375|29.25875,-60.7235|29.2948125,-60.9393125|29.435625,-47.6765|20.8915625,-60.0638125|29.184125,-68.72275|31.908625,-67.6706875|31.4775625,-68.34425|31.6139375,-69.961125|32.1130625,-69.41375|31.8453125,-69.0155|33.5505625,-68.4375625|32.9526875,-69.435375|33.206875,-66.8635625|33.20075,-68.411625|33.3435625,
-38.9681875|3.203125,-40.46525|3.1215,-7.0035|0.0,-39.825625|3.2989375,-36.323|3.0083125,-64.135875|30.001,-64.224|30.1295,-64.895625|30.2,-61.81175|30.100625,-63.29575|29.845,-64.395875|28.5404375,-64.2439375|28.1831875,-63.534|28.2288125,-61.644375|28.2974375,-63.0136875|28.24475,-70.278625|31.7343125,-68.6228125|31.9104375,-68.8533125|31.6925,-70.24625|31.919625,-70.29275|31.5930625,-69.678625|32.9769375,-69.4659375|33.307625,-69.7133125|33.2728125,-67.6640625|33.305875,-69.492125|32.9676875,
-37.8766875|2.624875,-36.9264375|2.617875,-33.705375|2.411875,-12.006|0.0,-35.8346875|2.8405,-62.7626875|30.1193125,-63.2135|30.0174375,-63.1635|29.9785625,-60.2051875|30.15225,-63.1843125|29.9651875,-63.12375|28.491625,-63.528375|28.9101875,-62.8963125|28.2939375,-59.9008125|28.4899375,-62.6109375|28.5700625,-63.294|31.0275625,-61.771375|30.6803125,-59.45925|28.8334375,-62.7358125|30.950875,-63.1693125|30.892375,-66.306625|34.6593125,-65.4664375|34.408,-65.4383125|34.141,-53.1905|25.2499375,-65.567|34.2120625,
-38.0366875|2.90125,-37.1316875|3.04325,-34.7223125|3.294375,-38.9824375|3.08125,-10.005|0.0,-64.2875|30.1265,-64.4765|29.86275,-64.612625|29.853125,-61.572125|29.82975,-64.42625|30.339125,-63.7230625|28.1991875,-63.650375|28.136875,-64.5768125|28.5279375,-60.7945625|28.1704375,-62.7683125|28.4525,-70.1285625|31.285,-68.4616875|31.6453125,-68.9231875|31.435875,-70.6486875|31.381875,-70.8045|31.7974375,-69.427625|33.14625,-69.646875|33.20125,-69.3470625|33.335875,-66.10475|32.699625,-68.763125|32.7945625,
-68.568625|34.699375,-69.117125|34.1104375,-68.607375|33.792375,-68.5539375|34.063625,-69.4526875|34.5950625,-8.004|0.0,-19.4345625|2.539125,-21.162875|2.996,-24.9605|3.034625,-21.37725|2.895875,-63.5494375|29.4343125,-63.4335|29.1774375,-62.171|29.2434375,-64.2545625|29.4956875,-62.9614375|29.2981875,-68.18775|32.649375,-69.2256875|32.5555,-68.8824375|32.536625,-69.380625|32.6455,-69.499375|32.2831875,-69.2386875|34.116,-69.0394375|34.4055,-69.166875|34.1180625,-68.5524375|34.3965,-68.2050625|33.9306875,
-67.400375|33.767625,-68.6618125|33.505375,-69.0991875|33.6748125,-69.0305|34.0256875,-69.037125|34.104,-19.3335|2.3453125,-9.0045|0.0,-32.1705|3.2463125,-35.3360625|3.3115,-31.4133125|3.0801875,-64.137875|29.07275,-65.0446875|29.4151875,-62.133125|29.1478125,-64.510875|29.187875,-64.555|29.4295,-68.0395625|32.3938125,-68.7701875|31.993125,-69.1138125|32.381375,-69.683125|32.1881875,-69.7855625|32.0978125,-69.2028125|33.62725,-69.811375|34.0453125,-69.567375|33.6985625,-69.1885625|34.3640625,-67.955875|33.8856875,
-67.3843125|33.5206875,-68.78625|33.842375,-68.447|33.153125,-68.578375|33.4251875,-69.0695625|33.514875,-30.5965625|2.1505625,-30.8796875|2.4090625,-11.0055|0.0,-35.302|2.669375,-34.389375|2.581875,-64.3435|29.007625,-65.435875|29.1589375,-61.44275|29.0710625,-64.8518125|28.7210625,-64.172875|28.442,-68.282875|32.3581875,-68.9863125|31.96425,-68.971|31.8425,-68.7210625|31.7784375,-69.381625|31.8373125,-69.247|33.743625,-69.177625|33.5128125,-69.4468125|33.6818125,-69.4178125|33.45825,-67.6129375|33.2934375,
-65.1435625|34.613625,-65.5884375|34.895625,-65.3560625|34.76975,-66.2855625|34.721375,-65.726625|34.445625,-29.44475|2.1165,-29.627|2.04775,-30.3995625|2.11475,-8.004|0.0,-30.4694375|2.174625,-64.284375|29.315375,-63.8685625|29.113375,-60.0010625|28.755,-63.361|28.790875,-64.17875|29.445625,-65.1541875|32.919125,-66.2683125|33.309,-66.3005625|32.977,-66.2370625|33.3815,-66.205875|33.24875,-67.707125|33.380875,-68.38425|33.8185,-68.6083125|33.701625,-68.28575|33.77675,-66.3151875|33.771375,
-66.58275|34.1289375,-67.170875|33.9190625,-68.03775|34.144625,-67.5988125|33.7410625,-67.7020625|33.7835625,-32.11225|2.977625,-31.83275|2.931875,-33.037875|3.128125,-32.3411875|3.1839375,-8.004|0.0,-60.8775|29.6243125,-61.8924375|29.976,-47.52925|21.0106875,-61.28575|29.6255625,-61.362625|29.9728125,-66.5930625|32.5736875,-68.52825|32.1986875,-68.2765625|32.079375,-68.57425|32.60875,-68.6806875|32.4609375,-66.20925|34.665875,-66.0715625|34.6146875,-66.0401875|34.6461875,-66.1436875|34.8229375,-65.69575|35.1431875,
