-11.011|0.0,-31.442875|1.659375,-29.81675|1.97175,-32.401625|1.59025,-31.16925|1.52675,-35.165|2.023625,-32.448|1.696375,-116.098875|55.73275,-116.863875|55.74775,-114.758375|55.2085,-116.418625|55.5125,-117.223375|56.263375,-114.923|54.36425,-116.797875|57.21575,-123.34275|65.309375,-125.34025|65.504,-126.178625|65.796375,-123.527875|64.1575,-126.79875|65.579,-127.207625|66.00375,-124.854|64.733375,-121.202625|66.520875,-120.14175|65.3375,-120.129125|65.183,-120.018375|65.774125,-122.40075|67.628875,-120.5845|65.6525,-105.204125|54.01075,-118.232625|61.741875,-118.095875|61.1965,-116.537375|59.934,-114.361125|59.379625,-116.583625|58.931875,-116.99375|60.087375,-107.906375|52.9505,-128.34075|66.64025,-127.326375|66.03775,-126.9405|65.750125,-129.17925|67.43175,-128.327125|65.05,-127.330125|66.113125,-126.317375|65.947375,-117.6515|65.964,-116.703125|65.2415,-117.63025|66.3655,-118.645625|66.312125,-111.93475|58.636625,-118.00225|66.794375,-117.61425|65.8895,
-38.150625|2.64725,-10.01|0.0,-72.50325|1.822875,-68.50975|1.672625,-69.9835|1.919,-67.863625|1.98825,-77.97325|1.95625,-119.113875|54.659,-117.297625|53.622,-116.027125|52.486125,-116.615625|53.139875,-116.417|51.961875,-118.282|54.237,-114.6185|53.91775,-129.392625|64.7845,-127.883875|62.29325,-128.78075|63.084375,-128.736|62.158625,-130.90325|63.348875,-130.9815|64.159875,-127.686|63.049,-125.07375|62.484375,-126.485375|61.244125,-127.4695|63.398875,-126.720875|61.562875,-128.775|62.81325,-127.100125|61.751375,-123.93925|62.114625,-121.638625|57.36425,-119.052|56.29675,-122.260375|57.591375,-119.12175|56.616125,-121.91525|56.8565,-120.3205|56.953875,-123.028125|57.522875,-128.835125|62.449,-131.058625|63.97875,-128.71925|64.405125,-128.35975|63.66425,-129.589875|64.55925,-127.25925|63.28075,-127.57075|63.295875,-122.929625|62.534,-122.787125|61.230875,-122.35925|61.83425,-126.231875|63.407875,-123.97825|62.729625,-123.265625|62.479875,-123.098875|62.15175,
-63.3735|1.939375,-65.370125|1.989,-10.01|0.0,-67.099|1.675875,-64.808625|1.787,-67.161125|1.815875,-68.332375|1.752375,-116.12825|52.658875,-112.075625|52.404375,-114.50275|53.1375,-114.366|53.28975,-112.956|51.7835,-114.9905|53.131625,-112.527125|52.585875,-118.65525|64.271625,-116.965625|63.365125,-118.47675|63.91725,-118.8645|64.25725,-110.113375|57.137,-118.997|64.289875,-118.673625|63.459875,-124.57925|62.307625,-123.59425|61.153875,-126.24375|62.869125,-124.9785|62.476875,-124.77075|63.3405,-124.48775|62.3755,-120.224625|61.071,-121.53975|57.251375,-121.903125|57.260625,-120.594|55.771125,-121.4405|57.674625,-122.5065|58.3865,-122.50725|57.19875,-124.73125|59.018875,-127.841|65.110875,-126.598625|63.42625,-127.214875|63.695125,-127.489375|64.634375,-126.386125|63.714625,-126.327|64.724875,-127.090375|64.749375,-121.503875|61.674375,-122.499375|61.44675,-122.33875|61.949,-124.19075|63.687375,-125.05975|63.0565,-121.363375|62.68925,-123.585375|63.59775,
-61.46|1.812625,-69.0775|2.3295,-70.464|1.755,-10.01|0.0,-56.887375|2.08075,-62.9265|2.233875,-59.665125|2.280625,-114.159625|51.345,-117.8415|53.77075,-114.16925|52.689125,-117.916625|54.339125,-114.950125|53.005,-115.246|53.23225,-111.197|51.2995,-126.278625|61.976,-128.022625|61.7065,-127.322125|62.429625,-126.246|62.382375,-126.547625|61.490125,-124.705|61.530875,-127.5385|62.714625,-125.123|61.1735,-126.17975|61.375,-124.88775|62.363375,-125.38775|61.932375,-125.211375|60.9875,-126.858375|62.79675,-121.310625|61.054125,-120.2445|55.57575,-121.818|55.838,-121.164625|56.419125,-120.4845|55.59675,-123.94775|57.088,-123.43175|57.1155,-122.176|56.016875,-130.254|65.039625,-129.374875|64.814625,-128.44425|64.674375,-127.56225|62.92725,-130.003375|64.864125,-125.869875|62.9015,-127.03525|63.242125,-120.033125|61.396,-121.49675|60.936125,-121.775875|61.90525,-123.190125|62.7185,-124.886|60.95325,-121.195375|62.584875,-120.5225|60.963,
-55.625875|2.3195,-62.0285|2.742125,-62.293|2.39875,-60.00525|2.521375,-9.009|0.0,-59.4345|2.6745,-51.2195|2.687125,-116.204625|54.264125,-113.9795|52.19275,-113.619625|52.56725,-113.199|52.650375,-113.84325|53.096625,-114.646375|53.8665,-112.188|53.002,-130.1345|64.669375,-125.533125|61.561375,-125.5175|61.627875,-127.756|62.652875,-127.8935|63.111875,-124.841375|61.737625,-127.00825|61.649875,-122.875375|60.5425,-123.532125|61.04425,-123.26525|60.786375,-126.53225|62.90175,-124.692625|61.9205,-124.5685|61.8905,-120.76375|61.8435,-121.573625|56.419875,-119.84675|55.998,-120.41675|56.5385,-120.662375|56.21875,-121.440375|55.4505,-121.857375|56.94625,-122.662375|57.1125,-127.6105|63.748625,-128.501875|63.691125,-126.620375|63.7955,-126.929|63.08425,-126.89125|62.11925,-126.052625|64.635375,-126.73575|63.176375,-122.257125|61.906375,-120.90125|61.723875,-120.823125|60.905375,-123.029125|61.633375,-123.134625|60.338,-121.68375|62.870625,-119.29075|60.511375,
-49.044875|2.400125,-47.914625|3.122625,-50.271625|3.204375,-45.827375|3.028125,-46.12975|2.8335,-11.011|0.0,-43.401125|2.894875,-101.4965|50.692625,-102.4585|50.770625,-104.199125|52.252375,-102.33475|50.579,-104.295|52.36975,-102.35275|51.263125,-89.507625|40.781875,-121.925375|63.228125,-123.604375|62.961,-122.864625|63.927375,-123.7825|63.446875,-123.387|63.30525,-123.767375|63.713625,-122.918625|62.775625,-120.458125|61.525125,-121.435875|62.139625,-120.6165|61.354625,-122.955375|62.5815,-120.568875|62.225,-121.290375|61.965875,-119.7835|62.3345,-118.342625|57.263125,-120.801375|57.953,-120.11375|57.44875,-118.44075|57.0905,-119.35|56.87075,-118.021875|56.047,-119.81475|57.856875,-123.844875|67.49275,-124.66075|68.041625,-121.760375|65.50525,-123.06975|66.600375,-118.444625|62.584375,-122.737|67.1925,-122.2625|67.7605,-118.42825|62.736,-117.45475|61.64975,-120.018|62.046875,-117.739|60.668625,-122.47625|61.35825,-117.320875|62.902125,-117.85725|61.606625,
-44.6785|2.23,-43.067375|2.033875,-42.9695|2.55475,-42.7085|2.458625,-43.92725|2.259625,-50.43525|2.24775,-10.01|0.0,-113.615375|52.2595,-114.493375|52.963375,-114.814|53.19175,-113.311875|52.224625,-114.306625|52.676875,-116.409|53.021875,-111.4795|53.753875,-124.128125|61.790875,-124.343|62.742125,-122.513875|61.885,-123.683125|61.263,-125.219875|61.973125,-123.779625|62.492125,-125.144375|61.7785,-121.679625|60.47225,-122.3795|62.075,-120.34|61.266,-124.742125|62.59,-123.428125|60.2845,-123.9435|61.92875,-120.269875|62.41025,-120.04525|56.4175,-120.366375|56.088625,-120.529875|56.17375,-118.568625|55.897,-120.482375|57.334,-119.51425|55.83875,-121.48225|56.73075,-124.80375|63.328375,-126.6305|63.611,-126.175375|62.536125,-125.4765|62.303625,-128.01825|64.232,-125.3935|62.869875,-124.728875|64.092125,-119.9125|61.50375,-120.413625|61.3275,-119.2885|61.854375,-120.03525|61.748875,-123.33925|62.527,-118.794875|61.13825,-120.79675|63.49775,
-125.91|67.356125,-125.271875|66.222,-122.207625|65.096625,-125.967375|66.13025,-124.69275|65.942125,-121.46275|65.62925,-124.5715|66.483875,-8.008|0.0,-34.89225|1.873375,-42.4995|2.323125,-31.93375|1.549,-36.633125|1.80375,-35.71625|1.9035,-41.135625|1.987125,-129.683875|65.15,-127.687375|65.717,-124.994875|64.28525,-128.205625|65.42975,-127.04475|63.848375,-127.79|64.9585,-129.505375|64.245125,-127.67425|63.62725,-128.447875|63.2675,-130.2875|64.172,-128.679125|63.997625,-124.182875|63.862,-128.0515|63.792,-126.909375|63.22125,-120.397625|57.662625,-120.6815|59.3075,-120.842875|57.7995,-122.6|58.55425,-122.769375|59.586625,-120.930625|57.750875,-121.480875|57.739625,-132.122625|65.49225,-131.6025|66.441875,-129.883625|66.084625,-129.387625|65.851625,-129.472125|65.698375,-129.94475|66.494625,-130.060375|66.563875,-125.83125|64.539625,-123.928375|61.574125,-124.639125|63.96575,-125.57475|65.609875,-123.237875|63.124625,-124.214875|63.537375,-122.6795|62.866375,
-122.549|65.366625,-123.296125|66.802375,-123.392125|66.312625,-120.76475|65.747,-121.283875|65.500625,-118.815375|65.720625,-121.8985|66.536875,-33.46325|1.5695,-10.01|0.0,-67.548625|1.337375,-66.705875|1.531125,-65.168875|1.35975,-62.310625|1.487,-62.78875|1.989375,-125.812125|64.005625,-127.091875|64.97475,-126.682375|63.75,-127.32575|65.62525,-124.107375|64.1075,-127.571|65.536,-126.729625|64.362375,-126.862875|62.714375,-128.146625|64.341625,-126.8345|64.372625,-129.61625|64.927125,-121.305|63.07475,-122.9385|62.6745,-124.428375|62.7065,-118.601375|58.149125,-117.916875|58.600375,-121.03575|60.164125,-121.52375|58.899625,-119.777|58.06125,-120.5215|58.92825,-119.463125|59.120125,-117.068|64.74675,-116.604375|64.854375,-115.7005|64.240875,-115.41125|65.20475,-113.42075|63.852625,-113.682|63.50825,-113.935625|64.30475,-122.050875|62.3775,-121.790125|63.9005,-122.072|63.82275,-122.07725|63.451,-122.004|64.185375,-122.015875|63.24325,-123.425375|63.170625,
-122.900875|66.339125,-120.77025|65.474,-123.268375|67.8665,-122.31|66.057,-121.489125|65.946125,-117.642625|66.06875,-120.010875|64.734375,-65.516375|1.1555,-63.534375|1.393375,-8.008|0.0,-57.68775|1.208375,-57.8515|1.34025,-58.7385|1.253,-56.9415|1.241375,-123.79325|67.25,-121.9165|66.6495,-122.525|67.505125,-123.997875|66.752375,-116.998|63.9375,-120.796|65.171625,-125.479875|68.34475,-126.0295|64.045375,-127.90675|65.554,-125.902625|63.10275,-127.542125|63.487375,-123.438|65.128875,-126.600625|63.56625,-127.5745|64.7905,-119.114625|59.183875,-117.71425|58.656625,-116.441|57.91825,-120.118|58.37475,-119.86425|60.088,-117.88775|58.7955,-119.17525|58.903375,-129.21675|65.860625,-128.075875|66.984625,-130.857125|67.73375,-129.38275|66.63275,-127.195125|65.654375,-127.691625|65.921625,-125.23675|65.182,-121.720375|63.200375,-124.902|63.689125,-118.921375|62.0385,-120.809125|62.95725,-120.9155|62.674625,-120.707125|63.38375,-123.4085|63.722375,
