-9.009|0.0,-51.27675|0.9655,-51.1355|0.90275,-53.848375|0.865875,-52.66975|0.932125,-48.959375|0.869375,-47.831875|0.57925,-47.13675|0.993875,-58.6475|0.78825,-191.374|85.96575,-192.453875|85.116,-191.940875|84.37,-194.72475|87.378875,-200.560125|88.24875,-190.831375|85.151,-189.134125|86.798125,-192.485|84.31325,-192.215875|86.55225,-191.76625|86.419125,-187.283875|85.776375,-194.70075|85.685375,-191.4135|84.790125,-198.508125|85.247875,-196.809625|88.488,-197.581625|87.26525,-197.17325|87.397375,-195.12275|86.788375,-193.506125|88.912625,-192.05325|88.964,-193.2525|88.168,-193.21775|88.79875,-198.812|91.061625,-187.749375|89.83275,-197.25175|89.225875,-194.068625|88.142,-194.04575|87.659,-197.79825|86.057625,-200.92525|87.69575,-203.276375|91.131375,-202.10225|88.02225,-202.30475|88.297375,-198.114625|86.750375,-203.6255|89.049875,-200.8595|87.2675,-199.65325|86.605125,-183.430625|86.881,-172.216|75.632,-179.656875|85.231375,-182.764625|86.11225,-182.91625|85.615875,-185.148|89.33025,-186.630625|87.907375,-182.898625|87.44075,-182.68675|84.7515,-189.091125|84.8825,-188.237375|83.89525,-189.64725|83.274,-190.081|86.640625,-187.317625|84.057375,-192.4865|85.659625,-186.311375|83.629125,-186.569125|82.875125,-196.997375|82.610375,-202.288625|97.7165,-200.817|93.649125,-205.834375|95.774625,-199.455625|95.88675,-204.276375|96.159,-205.633|95.319,-203.739875|95.596875,-201.992|97.2,-200.407875|95.448375,-181.63575|81.320125,-193.72075|93.163875,-193.408375|94.64725,-189.66475|92.6785,-188.541|90.76775,-188.685|91.633875,-189.7995|92.202875,-194.729625|92.0715,-181.277125|90.054,
-55.445875|0.647125,-13.013|0.0,-104.224125|0.5365,-118.821|0.414,-103.637|0.59525,-115.81025|0.51725,-107.735875|0.552,-126.143875|0.65,-106.810625|0.87825,-194.178625|86.951875,-194.288625|86.385375,-196.174625|84.863625,-190.90075|83.907625,-196.634375|85.046875,-194.73375|85.15425,-189.1895|84.50175,-194.25775|85.212,-197.302625|86.57925,-190.286|85.787375,-174.516625|76.911875,-193.042625|89.093875,-193.601|87.435625,-192.797875|86.926625,-192.0325|87.427625,-196.603625|89.991125,-194.03625|89.93175,-193.217125|88.376875,-194.47775|86.517375,-196.51825|86.104625,-192.083|85.49075,-199.14325|85.674875,-199.730375|87.39575,-190.750625|88.0615,-196.975625|86.1525,-198.42225|87.96525,-195.417375|85.172875,-208.017125|87.474125,-203.54925|86.31775,-205.85225|87.64375,-202.452875|86.070375,-206.543375|87.7675,-203.4355|87.0455,-205.727|85.586625,-205.560875|86.835375,-204.354875|83.988125,-198.831375|86.311625,-204.122125|87.335125,-196.46625|85.627375,-199.4475|86.379375,-196.589875|84.321625,-195.891625|85.945875,-193.24325|85.184375,-196.74725|87.7845,-196.6565|84.124375,-186.1545|82.112,-189.757125|84.184,-185.724875|83.45425,-191.647625|85.863375,-187.464|81.4885,-189.079|79.979625,-190.798|82.997375,-191.2815|85.61125,-200.8695|83.494,-203.5625|95.16625,-204.987625|95.77325,-202.193125|94.44625,-204.133625|96.58725,-199.211875|93.926125,-202.711375|92.048875,-203.61675|94.901125,-203.594625|94.365375,-202.92825|92.748,-193.354|86.5405,-195.695375|88.2315,-193.205875|85.059375,-195.28175|88.19475,-192.117375|85.2895,-191.84375|87.258875,-193.713125|87.24875,-192.45525|85.557125,-190.488375|87.6125,
-105.515125|1.460875,-112.238875|1.038125,-10.01|0.0,-102.105125|0.9145,-103.70475|0.995,-110.221875|1.045625,-105.4415|1.033375,-106.351875|1.041625,-109.4345|0.882625,-191.809875|85.179125,-192.4005|86.468875,-187.75125|83.27825,-191.290375|86.295375,-200.95575|86.520125,-189.0025|84.731,-185.159625|82.814,-196.407375|86.5885,-195.176875|86.24675,-190.1615|84.0975,-192.373375|87.156,-200.194625|85.657,-197.30825|83.751875,-201.758125|86.299,-196.69175|86.302375,-196.812375|86.654125,-198.962125|84.531375,-198.29125|82.43275,-190.61225|86.412375,-195.827875|87.22475,-196.283375|88.992625,-196.602125|87.968875,-195.155125|87.185875,-186.2275|88.06575,-197.91275|86.707125,-197.0475|87.45075,-194.68325|89.858125,-203.303875|87.9605,-201.706375|86.256,-207.240375|89.314875,-203.52975|88.439,-201.263125|85.4005,-205.873125|89.411625,-206.900125|88.354,-202.688375|87.27975,-207.24975|88.2925,-195.869375|86.5745,-198.237|84.163875,-189.573|84.50875,-192.505875|83.733125,-192.156625|84.682875,-193.3555|84.014875,-195.006625|85.476875,-195.725625|84.50625,-194.259625|85.7275,-185.55725|81.739625,-186.846625|83.123875,-188.5765|82.204625,-184.872125|83.17675,-187.7055|83.030625,-186.109375|81.8225,-187.253125|83.89725,-185.075125|83.205125,-193.164125|83.5665,-194.193375|96.76875,-194.352875|99.10825,-192.921125|97.52825,-197.717|97.634125,-194.801125|96.798,-197.998875|97.843125,-193.80575|93.134625,-196.288|97.736,-196.094875|98.09175,-196.303|86.564625,-191.03925|85.782625,-195.52425|86.845375,-193.927375|86.53475,-192.93975|86.8565,-192.764375|86.007,-193.38425|86.221,-197.84975|87.601625,-187.814125|88.354875,
-112.232|1.16825,-115.70725|1.362,-107.241625|1.0655,-13.013|0.0,-99.56425|0.95575,-97.045|0.876375,-93.15825|1.02825,-106.01025|1.15425,-103.394125|0.992,-188.711875|83.73325,-185.797|83.429375,-191.0975|84.77975,-188.811125|82.8305,-198.677|86.197375,-188.622125|84.78875,-187.811|85.2705,-192.24225|82.551875,-188.466|81.60775,-190.919125|83.014625,-189.36825|84.88375,-197.9155|83.411125,-195.15275|84.63175,-201.58975|84.05275,-195.10425|83.1,-198.827875|83.0555,-197.1945|83.198625,-200.737875|84.847375,-194.314125|87.134625,-194.05475|84.2955,-192.43275|85.479125,-192.303125|85.19,-198.288125|88.976125,-189.5525|88.13425,-193.43475|84.86725,-194.694375|87.01,-191.84875|86.343125,-200.74075|83.86125,-203.095|85.4315,-201.694875|85.37375,-207.1925|86.04925,-201.782125|83.726625,-206.602625|85.795625,-206.218125|87.697625,-203.733625|83.696875,-203.544625|84.5845,-191.94025|81.5305,-200.2225|85.328,-193.8475|84.507,-195.864375|84.399625,-195.8465|85.25825,-196.61075|85.247625,-192.414875|81.8795,-193.074125|84.000625,-193.24775|84.12675,-190.22475|83.732375,-187.36525|80.831125,-188.623125|81.276125,-180.396|79.2455,-184.990625|81.624875,-186.573375|83.171375,-185.987875|83.9355,-186.03675|82.056,-197.7675|82.82825,-201.294875|90.33,-197.3285|90.188375,-202.801|92.246875,-199.807|92.7065,-198.947125|93.18775,-202.56025|92.943625,-203.478125|92.915875,-202.862125|93.061625,-203.50675|92.946375,-201.1765|87.009,-195.032625|86.6075,-193.909375|84.051875,-193.45375|83.329,-192.4585|84.3185,-194.911|86.282,-194.983375|84.939,-193.517|84.770875,-185.28675|86.397875,
-91.350375|0.8475,-95.017875|0.675625,-95.73775|1.016125,-93.40475|0.7865,-11.011|0.0,-85.364125|1.182875,-77.19075|1.116625,-84.23525|1.3165,-87.980875|1.278875,-184.1815|84.419875,-185.621875|82.48925,-186.264125|83.453125,-185.05975|84.069875,-190.057375|84.207,-183.58675|83.318375,-181.136625|82.304875,-187.33925|83.991,-184.52925|84.36425,-185.867125|85.43175,-183.89075|84.269375,-196.58425|84.283625,-192.64725|83.891125,-192.59125|83.906125,-192.773125|85.62575,-193.00275|83.64425,-189.248375|81.46025,-195.411625|86.706,-191.388|87.79475,-189.72675|84.477,-194.70175|87.2075,-192.54675|85.713625,-194.04725|88.60275,-182.588125|85.888375,-193.0325|86.73975,-189.701|85.83625,-187.47825|85.717125,-191.331875|86.68225,-189.578625|89.274125,-179.325625|76.7475,-190.796625|87.88425,-192.212625|89.4585,-186.287375|85.271125,-188.830625|87.638,-189.084625|88.149625,-189.52875|88.07875,-189.477125|86.302375,-191.475125|82.6955,-190.679875|86.405625,-190.10775|85.453125,-187.33175|82.40675,-188.853375|84.26975,-187.89525|85.003125,-185.327125|82.017,-190.054125|85.544,-185.604375|84.071625,-182.392375|82.3245,-179.95175|81.749125,-183.234875|83.67925,-183.17075|82.991375,-180.936|82.243625,-185.8215|84.1745,-181.563|82.475,-189.63925|81.526875,-194.497125|93.87125,-201.494375|95.518625,-199.006875|94.5165,-194.759125|93.562375,-195.220625|93.85375,-196.718|93.708125,-199.395875|94.624,-199.246875|94.08375,-193.479125|92.0895,-192.25875|86.90375,-186.549125|85.376875,-186.28775|84.086875,-190.40075|86.592875,-189.971875|86.759,-187.967875|84.08425,-193.420875|87.98575,-193.913625|89.406375,-181.23025|86.744,
-83.51275|0.82075,-81.5065|0.60875,-81.210375|0.53725,-80.743125|0.584,-87.39025|0.632375,-10.01|0.0,-62.5095|0.818625,-71.167375|0.706875,-69.628875|0.6585,-180.06575|86.155625,-180.115375|84.476375,-178.62525|85.064,-179.783375|86.002,-172.343|77.647875,-173.016625|83.510125,-179.968875|86.016625,-177.831875|84.60125,-179.7655|87.12625,-182.784|83.778,-183.38075|84.2935,-191.534|82.804625,-192.38325|84.933875,-195.505375|84.71175,-189.236375|83.4455,-192.915125|83.212125,-188.420375|81.6635,-192.790125|84.8295,-187.74875|87.077,-190.79125|87.640625,-191.092875|88.34125,-189.829375|87.025625,-192.972375|88.01875,-179.59675|85.071,-192.11175|89.424625,-191.85775|87.6055,-190.16975|88.59075,-199.0215|86.1445,-197.7425|86.363875,-199.7445|85.838,-201.124625|87.328125,-196.1215|84.65175,-196.609|84.114875,-200.50075|85.76125,-200.266875|86.074375,-200.79725|87.563625,-188.091|82.885,-193.3025|82.123125,-186.158|83.985625,-184.576125|84.349875,-188.3325|84.066,-185.237625|83.38625,-190.591875|85.77175,-189.891875|85.300625,-189.1275|83.703375,-182.3625|82.68575,-181.311875|82.917125,-182.968|84.5895,-177.39|80.212375,-181.16225|81.972875,-181.953125|82.59275,-182.529375|83.393625,-180.87775|82.660375,-190.500875|83.1455,-194.555625|94.044,-193.785125|93.014,-201.64125|94.682875,-191.797625|92.363125,-194.4645|93.29925,-200.821875|97.978125,-197.389125|92.8195,-194.144875|92.918375,-196.7445|94.023125,-193.37225|85.5235,-190.528375|85.337125,-186.976625|86.2635,-191.46275|87.056125,-191.204875|86.2775,-190.382125|86.995375,-190.126875|85.770625,-188.41025|86.65975,-181.340625|86.086125,
-71.81675|1.273375,-66.801625|1.281375,-67.729375|0.92425,-67.57075|0.878375,-70.444875|1.124,-70.039625|0.545125,-9.009|0.0,-58.771|1.391,-53.288|0.837125,-184.6845|84.655,-187.22425|86.781875,-184.357875|84.811125,-185.394375|85.0995,-192.143125|86.726625,-183.349875|84.2565,-182.42075|86.408125,-187.356625|84.4665,-182.9605|84.388875,-183.641375|84.153875,-182.20875|86.055,-191.999625|84.411125,-193.641375|87.514,-193.252|85.26175,-188.295375|83.315125,-189.867875|83.063875,-192.242|84.6605,-191.817125|85.74725,-183.49375|88.910875,-186.694625|89.554625,-189.483|89.843625,-186.673|89.108625,-191.793375|91.456375,-181.493|89.922375,-175.801|82.966625,-187.149125|90.171625,-184.556875|89.942625,-200.814125|87.59,-198.7015|86.961125,-197.609625|86.3515,-200.234|86.753625,-197.65275|87.17825,-202.66275|87.315125,-197.65375|87.10125,-198.92575|86.672,-198.1165|87.0965,-188.15925|86.790625,-191.442|83.708125,-187.961125|85.61,-184.7525|84.7255,-186.988125|85.970125,-187.75825|84.80475,-187.346625|85.202875,-186.202125|82.69225,-186.14175|83.103125,-181.235|84.99975,-177.809625|82.462625,-180.582125|84.30525,-181.09475|83.106375,-180.288|82.832875,-179.713|82.790375,-181.300375|84.012875,-187.904375|87.466,-187.964125|81.06625,-193.18825|93.43,-195.943875|95.780375,-197.591375|93.77225,-189.608375|91.177125,-195.32375|94.299125,-196.734875|93.958375,-200.34525|96.504125,-190.30875|91.749625,-193.652625|94.1725,-189.498375|86.485625,-190.714375|88.004625,-193.11475|89.916125,-190.862|89.197125,-186.410875|84.498875,-187.402375|86.844875,-187.657125|85.580625,-189.45325|86.759,-184.20325|89.545,
-59.29625|1.049625,-52.057|1.236375,-53.948|1.44475,-56.237125|1.149375,-56.432875|1.5105,-54.19975|1.31125,-49.834125|0.711125,-11.011|0.0,-43.7395|0.91225,-184.214125|84.866125,-184.499625|83.340875,-183.251|82.163,-181.971125|83.853,-189.830375|82.97825,-181.616625|85.11725,-181.49675|85.431,-182.675625|82.54325,-184.24775|84.0145,-185.090125|86.417875,-179.237875|83.005625,-189.63575|84.28875,-185.126375|82.6505,-188.987375|83.61275,-187.452625|84.95125,-192.533|83.317125,-190.85475|83.800875,-191.753875|85.035625,-189.557|87.31675,-187.476875|85.9975,-190.53575|88.14525,-190.1175|86.614625,-189.39475|86.091,-179.457125|86.592375,-189.393|88.23725,-187.535375|86.181125,-184.3565|86.5425,-195.930125|85.728125,-194.49625|85.830375,-196.27775|87.045,-192.344125|84.3525,-198.00025|87.454875,-197.57675|87.495625,-197.118625|86.155625,-199.61175|87.043375,-197.584375|87.03125,-192.76175|88.071875,-195.05425|86.31075,-186.432|83.478125,-185.190125|83.616875,-186.487875|85.69275,-186.018375|84.125625,-184.780125|82.371375,-188.7615|84.92225,-187.204375|85.12675,-174.06|82.503,-181.459|88.5625,-176.360625|84.82375,-175.11325|82.641125,-170.571125|81.569,-173.17425|82.0425,-176.0905|83.87,-179.31175|85.390625,-169.948875|74.765,-192.19375|94.941375,-194.2225|94.804125,-194.9045|94.131,-192.704875|94.9045,-195.3635|93.932375,-199.595375|94.6605,-197.830875|95.222,-195.26375|95.242,-196.111625|96.076,-189.89525|84.0875,-187.77125|87.111875,-186.272875|85.64225,-184.891125|85.517125,-185.873|86.4355,-183.4475|85.4915,-182.3165|85.2335,-186.4325|84.84825,-177.7935|86.209375,
-58.305125|1.503,-48.874875|1.619125,-47.833625|1.44925,-47.219125|1.582625,-45.72825|1.543,-49.49125|1.72275,-43.6805|1.0245,-50.95575|1.27275,-8.008|0.0,-178.661875|82.195625,-182.722125|84.7675,-185.149625|83.70125,-181.927625|84.550875,-190.98675|84.730125,-179.741875|81.3365,-183.77225|84.2285,-181.98525|81.491375,-180.595|82.0685,-183.50875|84.67875,-182.395|83.337125,-185.9835|81.18225,-188.28125|83.2925,-188.63825|81.24025,-187.17575|83.083375,-189.146125|83.116875,-190.7845|82.532875,-192.37275|85.655375,-184.776875|83.033375,-185.822875|86.32325,-184.503375|84.178875,-188.15175|86.479625,-192.56775|85.716375,-180.415625|85.923375,-187.5465|85.7685,-186.054|85.099,-190.211875|89.473,-199.11725|88.35225,-193.926625|84.13,-194.347625|84.408625,-195.999625|86.43725,-191.48375|85.040375,-199.46575|88.66,-198.8295|86.07525,-196.707|86.23325,-194.8135|84.0045,-186.888|84.73425,-187.29225|81.538,-180.6325|83.257375,-185.9215|82.849625,-183.861875|84.2895,-182.807125|80.84875,-185.62325|83.0275,-184.678375|82.4345,-187.187625|84.352,-177.343125|82.20775,-181.075875|82.183125,-180.233125|82.954625,-177.875|81.2245,-179.83225|83.821125,-179.439875|81.64225,-182.879625|82.01725,-177.07175|81.359,-189.09725|82.95475,-191.810625|92.44775,-193.009875|93.585875,-197.060625|94.012375,-190.929625|92.20975,-192.765375|91.8985,-194.925875|90.371625,-196.374125|93.078625,-192.80875|96.295875,-193.193|94.421,-188.470125|86.20225,-187.942875|85.592125,-185.51275|86.07,-186.26225|86.488,-187.336|85.841,-185.38425|85.1775,-184.18225|85.581375,-187.123375|86.502875,-179.0855|88.666875,
-200.92275|89.864,-200.573375|90.260625,-201.04825|90.93075,-201.1505|90.965875,-202.657625|90.76325,-194.803375|91.35575,-199.9855|92.42425,-195.913625|89.048625,-197.084375|90.238625,-9.009|0.0,-103.404375|0.639125,-109.5945|0.84375,-94.01075|0.99925,-99.39475|0.466875,-108.6315|0.89375,-99.254375|0.914375,-109.17325|0.590625,-112.067375|0.8635,-201.596375|84.408625,-199.26325|83.704625,-200.130625|86.079875,-189.515625|85.745,-195.59725|83.99825,-199.828875|84.886375,-203.009375|86.719125,-199.191875|85.23625,-198.0545|85.052625,-187.99325|87.14325,-187.86725|85.616875,-185.909|86.375,-186.335|86.341875,-184.983125|86.53225,-191.848875|88.878875,-189.444125|86.8245,-186.809625|86.05275,-189.92325|88.024875,-207.351875|87.770625,-206.460625|86.702375,-198.547625|87.890875,-204.65375|86.061625,-204.33925|85.04875,-206.810625|86.986625,-206.682125|86.409125,-206.834375|86.633125,-206.636375|85.500375,-190.871125|82.039875,-195.619|84.087625,-199.727125|84.238,-192.17325|84.573375,-194.448|85.378125,-196.754625|84.947625,-199.8405|84.556,-196.227375|84.1655,-194.059375|83.3295,-187.095125|80.72675,-191.897875|84.298875,-193.081125|84.236625,-190.68075|81.61775,-189.421375|84.760625,-178.854|80.615375,-190.688125|83.34325,-189.270875|80.49625,-190.553375|82.00625,-202.2105|95.724125,-200.04275|96.654,-197.66625|93.770375,-204.84425|94.062125,-205.44575|95.878,-203.436625|95.540875,-201.383|95.643125,-202.8505|93.8405,-207.697625|96.606,-188.508375|85.043625,-189.841125|84.3545,-190.873625|87.049375,-190.99775|88.472625,-192.978875|88.4,-193.1225|87.53825,-189.546375|86.00175,-194.415125|84.0605,-192.995375|86.527,
